"Time"	alkB	ada	alkA	livK	livJ	lysU	kbl	livG	aidB	lrp
400	0.6085506	0.3335089	0.5077527	0.0072750	0.5209422	0.5286573	0.4980202	0.1615640	0.4471528	1.0388164
450	0.6680021	0.3326927	0.4604446	0.0074031	0.5009270	0.4915086	0.4998546	0.1573634	0.4070500	0.9610047
500	0.6346039	0.3668934	0.4784431	0.0080024	0.4924761	0.5174769	0.5089090	0.1223325	0.4567023	0.9458764
550	0.5442862	0.8334760	0.3096485	0.0083597	0.5303945	0.5021999	0.5405714	0.3466384	0.4351241	1.0110503
600	0.4413600	0.8620229	0.8853676	0.0179793	0.5509910	0.5487236	0.5197369	0.3304457	0.6309984	1.0062232
650	0.4008503	1.0124393	0.9953700	0.0115975	0.4551270	0.5469963	0.5398093	0.3309400	0.7074158	1.0179945
700	0.3054651	1.0688768	0.9637468	0.0062742	0.4758087	0.4703298	0.4971354	0.3229884	0.7598089	0.9625331
750	0.2659910	0.8876302	0.9515355	0.0186981	0.5103384	0.5160684	0.4686109	0.3294625	0.7809555	1.0344096
800	0.3075753	1.0169442	0.9600626	0.0213038	0.5425963	0.4684716	0.5466875	0.3503157	0.7412252	1.0211973
850	0.3214723	0.9809427	0.9736014	0.0254378	0.5007843	0.4477584	0.5882260	0.3382087	0.7148255	1.0161443
900	0.2521300	0.9365508	0.9399093	0.0152436	0.5024569	0.4925919	0.5808410	0.3229280	0.6808199	0.9985506
950	0.2717286	0.9415811	0.9660170	0.0202521	0.5559160	0.4560041	0.5074532	0.3744922	0.6702495	0.9633754
1000	0.2660018	1.0569590	0.9408449	0.0182147	0.5170204	0.5034712	0.5064142	0.4415008	0.7010475	1.0411326

0	0.2273292	1.0334170	1.0859068	0.0134414	0.5608931	0.5873593	0.4683770	0.3981586	0.7639161	1.0559996
50	0.3250871	0.5911855	0.8162927	0.0000007	0.5110891	0.5113904	0.5690232	0.1252890	0.7669461	1.0256147
100	0.4252446	0.5282936	0.4799458	0.0001216	0.5288642	0.5520025	0.5876310	0.1369812	0.6831511	1.0219860
150	0.4567280	0.5346816	0.5110117	0.0019025	0.5161915	0.5672262	0.5756443	0.1207230	0.6134467	1.0802821
200	0.4983439	0.4956252	0.4762000	0.0000000	0.5042079	0.5554204	0.6181723	0.1025288	0.5620997	0.9428690
250	0.5441402	0.5142023	0.2810635	0.0000220	0.5773708	0.5966781	0.6054348	0.0973756	0.5114446	1.0788877
300	0.5884501	0.5205136	0.2145643	0.0002590	0.4640662	0.5497883	0.5975908	0.1106038	0.4806131	1.0705180
350	0.5921574	0.4727611	0.3389647	0.0000000	0.4600264	0.4685709	0.5792463	0.1011401	0.5591732	0.8979905
400	0.5225825	0.4713979	0.3745324	0.0000000	0.4335354	0.5200936	0.5627604	0.1025528	0.5774832	0.9213569
450	0.5418261	0.5014120	0.2348624	0.0004999	0.4696912	0.5458268	0.5687308	0.0926221	0.5654913	0.9731300
500	0.5789403	0.5121428	0.3417574	0.0000003	0.4517874	0.4664824	0.6307993	0.1254344	0.5403234	1.0013926
550	0.4929468	0.8403272	0.5375979	0.0089189	0.4704939	0.4892994	0.6118191	0.3153611	0.5191054	0.9931735
600	0.3667495	0.9402246	0.8992394	0.0150989	0.4617371	0.4927980	0.5464609	0.3616934	0.5754627	1.0328573
650	0.2642717	0.9325482	0.8944836	0.0214701	0.4547916	0.5508269	0.5436404	0.3590177	0.6236429	0.9889395
700	0.2697231	0.9807239	0.8653790	0.0254691	0.4725443	0.5163361	0.5330872	0.3297546	0.6947043	1.0496809
750	0.2647012	0.9995749	0.9546579	0.0203937	0.5130078	0.4878077	0.5339380	0.3392480	0.6394394	1.1004590
800	0.2472746	0.9931074	0.9477750	0.0066957	0.5060749	0.4642916	0.4961558	0.3705817	0.6649374	0.9862553
850	0.2416365	1.0291633	0.9044917	0.0032199	0.5284365	0.5285070	0.5133477	0.3839196	0.6612118	1.0515455
900	0.2628668	1.0341110	1.0067439	0.0126481	0.5449475	0.5387092	0.4949314	0.4083105	0.6338123	1.0196002
950	0.2527947	0.9059013	0.9786137	0.0249816	0.5210071	0.5622149	0.4534195	0.3987605	0.6636932	1.0859158
1000	0.2311746	1.0068774	0.8665018	0.0135381	0.5032283	0.5469784	0.5012493	0.3903915	0.6855048	1.0117112

0	0.2273292	1.0334170	1.0859068	0.0134414	0.5608931	0.5873593	0.4683770	0.3981586	0.7639161	1.0559996
50	0.2727133	0.9226018	0.9476112	0.0121751	0.5849790	0.5836689	0.6278460	0.3682861	0.6776867	0.9919066
100	0.2557203	0.9348818	0.9808418	0.0143165	0.5525787	0.4870985	0.6179001	0.4015320	0.7464997	0.9253480
150	0.2988306	0.9750258	0.9288834	0.0078157	0.5219466	0.4996686	0.6388709	0.3324362	0.7145705	0.9877525
200	0.2385381	0.9661707	0.9648056	0.0142979	0.5619304	0.5191776	0.6313928	0.3837479	0.6706222	1.0035608
250	0.2370618	1.0875988	0.9659255	0.0198068	0.5387353	0.5687269	0.6170947	0.4045057	0.6745123	0.9637564
300	0.2075724	1.0612321	0.9131617	0.0156041	0.5410077	0.5126155	0.6449790	0.3534140	0.6838833	0.9369936
350	0.2392152	1.0025525	0.9708687	0.0108387	0.5405299	0.5555100	0.6971397	0.3649048	0.6911544	1.0395697
400	0.2107986	1.0673654	0.9459327	0.0039923	0.4476310	0.4476675	0.6763500	0.3969018	0.6798184	1.1331886
450	0.2290086	1.0956119	0.9845538	0.0090802	0.4753750	0.4736677	0.6525792	0.3407726	0.7356315	1.0451924
500	0.2300054	1.0621872	0.9571172	0.0193935	0.4134777	0.4908584	0.5543770	0.3177802	0.7758752	1.0400672
550	0.2330650	1.0269713	0.9629311	0.0093261	0.5128255	0.4714742	0.4918857	0.3503632	0.7269504	1.0046519
600	0.2474166	1.0490985	0.9680121	0.0158312	0.4742026	0.4768901	0.5039311	0.3346644	0.6800231	0.9929197
650	0.2553777	0.9600853	0.9562073	0.0196473	0.4921041	0.5103227	0.5003647	0.3167653	0.6374330	1.0634750
700	0.2638211	0.9601430	0.9748959	0.0171873	0.5179612	0.4686856	0.5232895	0.3915281	0.6551620	1.0780475
750	0.2593101	1.1002040	0.9845898	0.0155659	0.5112896	0.5069225	0.5996863	0.3423946	0.6934044	1.0058296
800	0.2414055	1.0153603	1.0287079	0.0148366	0.4869063	0.4620461	0.5133428	0.3108221	0.7604602	1.0474577
850	0.2255668	1.0261998	0.9017322	0.0109155	0.4651497	0.4667327	0.4710876	0.3066846	0.7462805	1.1037987
900	0.3224906	0.9726652	1.0027927	0.0160349	0.4871634	0.5282584	0.5191160	0.3287978	0.6729304	0.9726388
950	0.2828564	0.9875460	0.9644286	0.0158760	0.5668195	0.5558401	0.5515158	0.3639141	0.7006256	0.9026207
1000	0.2516244	0.9040182	1.0096833	0.0221064	0.4384369	0.4969412	0.5249857	0.3615533	0.7180994	1.0664327

0	0.2273292	1.0334170	1.0859068	0.0134414	0.5608931	0.5873593	0.4683770	0.3981586	0.7639161	1.0559996
50	0.3576023	0.3161979	0.6886265	0.0093226	0.5547802	0.3694920	0.7965410	0.1927826	0.7639671	1.0532636
100	0.6362033	0.0980224	0.0825702	0.0103404	0.5425013	0.2824435	0.8162636	0.1353179	0.4962719	1.0236588
150	0.9163777	0.0439861	0.0769946	0.0038066	0.4984914	0.2568859	0.8364592	0.1196232	0.3848104	1.0279767
200	1.1178966	0.0323519	0.0539896	0.0012511	0.5066355	0.2156001	0.8470538	0.1609022	0.2246582	1.0224338
250	0.9903922	0.0191367	0.0509956	0.0006676	0.5907052	0.2197348	0.8921953	0.1419481	0.2236042	1.0378843
300	1.0693561	0.0285965	0.0616477	0.0010416	0.5515969	0.2063911	0.8882874	0.0813376	0.1632500	0.9701439
350	1.0174896	0.0194279	0.0686627	0.0009213	0.5433204	0.1938136	0.9018362	0.1319001	0.1281459	1.0034678
400	1.0561664	0.0194567	0.0676297	0.0000000	0.4697038	0.2113102	0.8828125	0.1078951	0.1332988	0.9270044
450	1.0338640	0.0324046	0.0650463	0.0007393	0.5090283	0.1932040	0.8816124	0.1366056	0.1135661	0.9767754
500	1.0022965	0.0486487	0.0594655	0.0004271	0.5036657	0.1851217	0.8552197	0.1521327	0.1164814	1.0045491
550	0.9400808	0.7615036	0.0893060	0.0063527	0.5309712	0.3314782	0.6583212	0.3153453	0.2658973	0.9680911
600	0.6122925	0.8876518	0.6486152	0.0115955	0.5025151	0.4525913	0.5596180	0.3535355	0.5099047	1.0117218
650	0.3608058	1.0299269	0.9033388	0.0100106	0.4785400	0.4575773	0.5410986	0.3693177	0.5942488	1.0317207
700	0.2809351	1.0698954	0.8675276	0.0157839	0.4661194	0.4645926	0.5075761	0.2613074	0.6835027	1.0538123
750	0.2470107	1.0432091	1.0339968	0.0049135	0.5289199	0.4706576	0.5002529	0.3643388	0.7191438	1.1111923
800	0.2067918	1.0065428	0.8647725	0.0053675	0.4702563	0.5364904	0.5177760	0.3401778	0.7184568	1.0915755
850	0.2254313	1.0701240	0.9954150	0.0111835	0.4967272	0.5564404	0.5103534	0.4239851	0.7080338	0.9613134
900	0.2676568	1.0355612	0.8721671	0.0101740	0.5160708	0.5112840	0.4953762	0.3505430	0.7074233	1.0349101
950	0.2718129	1.0248935	0.9924599	0.0159667	0.5742669	0.4812754	0.4466821	0.3583232	0.7384238	0.9727458
1000	0.2331308	1.0911854	0.9688688	0.0148105	0.5370224	0.5104065	0.4775548	0.3215210	0.6930203	1.0365382

0	0.2273292	1.0334170	1.0859068	0.0134414	0.5608931	0.5873593	0.4683770	0.3981586	0.7639161	1.0559996
50	0.2498715	1.0167232	1.0070767	0.0164107	0.4330540	0.3971832	0.5106128	0.4003523	0.7573663	1.0312714
100	0.2880260	0.9887069	0.9731771	0.0112850	0.3409856	0.3839386	0.5383138	0.3528521	0.6336453	0.9916134
150	0.2254705	1.0116444	0.9464175	0.0151948	0.3124059	0.3490495	0.5877321	0.3407876	0.7446070	0.9772029
200	0.2310627	0.9181760	0.9263744	0.0128671	0.3107671	0.3221451	0.5553782	0.3423891	0.6687873	0.9726610
250	0.2747349	0.9643895	0.9784262	0.0194388	0.3196302	0.3656275	0.5777764	0.3863798	0.6371420	1.0619477
300	0.2603499	1.0177461	0.9832366	0.0170359	0.3553768	0.3132421	0.5603561	0.3373650	0.6622906	1.0563015
350	0.2716537	0.9737583	0.9822515	0.0223040	0.3660489	0.3318454	0.5295938	0.4257857	0.6766946	0.9836039
400	0.2505766	1.0512267	0.9237899	0.0201496	0.3836641	0.3404811	0.5646344	0.3932696	0.6853672	0.9973732
450	0.2241326	1.0154115	1.1292871	0.0119474	0.3285977	0.3330020	0.5772500	0.3491891	0.6199999	1.0438473
