"Time"	alkB	ada	alkA	livK	livJ	lysU	kbl	livG	aidB	lrp
400	0.5519157	0.3338664	0.4819210	0.0083358	0.5486799	0.5641010	0.5288870	0.1231201	0.4170164	1.0384013
450	0.5940161	0.3113532	0.4328951	0.0025899	0.5936048	0.4719232	0.5183662	0.1626381	0.4469352	1.0909221
500	0.6344686	0.3109259	0.5210525	0.0092191	0.5448715	0.4703858	0.5184082	0.1680804	0.3820820	1.0397239
550	0.6617404	0.6385007	0.3104283	0.0105522	0.5209024	0.5326063	0.5024762	0.2279906	0.4311107	0.9075917
600	0.5623951	0.8248381	0.6424623	0.0109464	0.5524719	0.5801099	0.4955254	0.3262256	0.5002268	0.9569338
650	0.4709910	1.0153688	0.8469757	0.0273098	0.5721297	0.5695583	0.4835509	0.3201388	0.6178432	1.0087479
700	0.3473050	1.0910181	0.8935897	0.0230967	0.5150710	0.5072402	0.4789445	0.3152723	0.7009609	1.0549397
750	0.2916137	0.8967190	1.0076773	0.0190477	0.5559942	0.5400201	0.4562429	0.3416440	0.7149808	0.9946262
800	0.3121894	0.9992741	0.8857506	0.0127285	0.5858753	0.5311096	0.4455265	0.3497230	0.7326811	1.1160341
850	0.3297320	0.9585794	0.8864029	0.0188955	0.5186567	0.4479900	0.5370166	0.3161389	0.7313235	1.0337776
900	0.2886355	1.0630939	0.9972089	0.0214582	0.4733930	0.4638329	0.5759533	0.2975571	0.7488432	1.0567084
950	0.2369625	0.9779578	1.0325166	0.0269793	0.5381119	0.5320611	0.6228309	0.3043648	0.6759834	0.9982520
1000	0.2393562	1.0966514	0.9059949	0.0198440	0.4435330	0.4645385	0.5941297	0.3829935	0.6584725	0.9710562

0	0.2056242	1.1039552	1.1257863	0.0104747	0.5286506	0.5697073	0.5269512	0.4392992	0.6954606	0.9243886
50	0.3039895	0.6942560	1.0131825	0.0163175	0.5349226	0.5096677	0.4654578	0.2158423	0.7717289	1.0151097
100	0.3928903	0.6121902	0.6953488	0.0043988	0.5208715	0.4632831	0.4823686	0.1492366	0.7597596	0.9855763
150	0.4524042	0.6548090	0.4712639	0.0023767	0.5570256	0.4761662	0.5491714	0.1405388	0.6425858	0.8666246
200	0.4526398	0.5467194	0.5617983	0.0016176	0.5063899	0.5467271	0.5861772	0.1161679	0.6248418	0.9565372
250	0.5166241	0.5114313	0.3890380	0.0000397	0.5274684	0.5811937	0.6521091	0.1075990	0.6101610	0.9459550
300	0.5396937	0.4689715	0.2515208	0.0004921	0.5419683	0.5623766	0.7008689	0.1057885	0.5271720	1.1197245
350	0.5911301	0.5610896	0.2575364	0.0076763	0.4675213	0.5211065	0.6210184	0.1076218	0.5038826	1.0227027
400	0.5876649	0.5573026	0.3324505	0.0063626	0.4596016	0.5031583	0.6013548	0.1100971	0.5887091	0.9862465
450	0.5011264	0.4805981	0.2691604	0.0060232	0.3971960	0.5268725	0.5237641	0.0792762	0.5556715	1.0414139
500	0.5540412	0.5319014	0.2723841	0.0007127	0.4542685	0.4795623	0.5855932	0.1116337	0.5782729	1.0493195
550	0.5638159	0.7290858	0.3449076	0.0085921	0.4487585	0.4753725	0.6093220	0.2193006	0.5304685	0.9768263
600	0.4911323	0.9634206	0.8304210	0.0130748	0.4943686	0.4883194	0.5418710	0.2965937	0.5706144	0.9905816
650	0.3603532	0.9000154	0.8992341	0.0377604	0.5385436	0.5023229	0.5589693	0.3266356	0.5718166	1.0451319
700	0.2437958	0.9520820	0.8240683	0.0215066	0.4833529	0.4916776	0.5005992	0.3554467	0.6900968	1.0900863
750	0.2651195	1.0526738	0.9510282	0.0063113	0.4771294	0.4847835	0.4693221	0.3381960	0.6554103	0.9732618
800	0.2295063	1.1172588	0.9092302	0.0103354	0.4773251	0.5261509	0.4988022	0.3470940	0.6747409	0.9007533
850	0.1977036	1.0489688	0.9706828	0.0048466	0.5137485	0.5570779	0.5078325	0.3300182	0.6647661	0.8635445
900	0.2292899	0.9424745	0.9466831	0.0097702	0.5047962	0.5676222	0.4935683	0.3627649	0.6911801	0.8670698
950	0.2478085	1.0467345	0.9609248	0.0154042	0.4969273	0.5438609	0.4604442	0.3766321	0.7733924	1.0060840
1000	0.2929683	1.0615299	1.0253614	0.0185941	0.5218741	0.5074548	0.4731055	0.3970963	0.7277775	0.9432663

0	0.2056242	1.1039552	1.1257863	0.0104747	0.5286506	0.5697073	0.5269512	0.4392992	0.6954606	0.9243886
50	0.2940333	0.9351202	0.9941807	0.0124069	0.5673874	0.5673479	0.5675081	0.4130705	0.7512319	0.9411580
100	0.2632604	0.9702984	0.8523858	0.0224550	0.5533137	0.5008925	0.4966767	0.3902261	0.7549271	0.9508525
150	0.2787624	1.0012559	0.9278864	0.0140353	0.5299778	0.4518498	0.5926012	0.3783306	0.7461685	1.0334533
200	0.2999958	1.0498514	0.9509961	0.0183272	0.5661797	0.5291363	0.5718061	0.3598222	0.7208218	1.0320157
250	0.2765440	1.0008709	1.0838569	0.0193990	0.5033518	0.5075484	0.5762076	0.3421652	0.6383288	0.9771436
300	0.2311471	1.0565367	0.9264429	0.0220744	0.4877316	0.5337952	0.5511799	0.3708417	0.6256824	0.9361208
350	0.2410452	1.1033696	1.0772922	0.0231147	0.5336415	0.5719086	0.6418924	0.3809419	0.7234400	0.9526891
400	0.2401982	1.1188216	1.0445055	0.0093276	0.5254339	0.4377513	0.7360098	0.3533183	0.6915173	1.0499531
450	0.2702578	1.1438152	0.9612156	0.0104189	0.4737510	0.4545367	0.7160504	0.3591574	0.6686376	1.0972995
500	0.2553543	1.1050582	0.9728849	0.0178033	0.5274371	0.4762396	0.6972046	0.3238377	0.7636715	1.0644233
550	0.2307868	1.0221431	1.0251155	0.0216741	0.4902925	0.4840357	0.5542925	0.3011648	0.7109818	1.0007126
600	0.2654564	1.0868722	0.8682720	0.0111823	0.4723369	0.5263198	0.5068438	0.2996669	0.7426667	0.9620334
650	0.2439984	0.9815003	0.9997704	0.0124178	0.5680020	0.4772611	0.5317358	0.3342788	0.7001976	1.0336369
700	0.2769122	0.9409691	0.9890736	0.0166655	0.5699427	0.4889115	0.5097775	0.4057751	0.6550345	1.0080452
750	0.2612159	1.1068346	1.0138521	0.0209510	0.5159515	0.5518333	0.5515633	0.4299049	0.6362307	1.0721759
800	0.2673022	1.0661713	0.9428358	0.0106138	0.5133093	0.4456470	0.5722124	0.3865042	0.6745575	1.0173190
850	0.2563406	1.0440641	0.8860487	0.0194217	0.4223750	0.4753565	0.5549993	0.3518828	0.7237509	1.0965409
900	0.2990836	1.0015261	0.9070850	0.0175187	0.4258281	0.5449055	0.5366925	0.3871469	0.7491340	1.1540183
950	0.3093822	0.9873294	0.9116483	0.0122337	0.4814032	0.5498533	0.6000807	0.3554099	0.7162414	1.0224879
1000	0.2849762	0.9698705	0.9600059	0.0161137	0.4950447	0.5319461	0.5667769	0.3536621	0.7628262	1.0583338

0	0.2056242	1.1039552	1.1257863	0.0104747	0.5286506	0.5697073	0.5269512	0.4392992	0.6954606	0.9243886
50	0.2765746	0.5813150	0.8812235	0.0226108	0.5519290	0.4910876	0.5893501	0.2634946	0.8268549	0.9858667
100	0.4596112	0.1879346	0.2990179	0.0347751	0.5682248	0.3274754	0.7620664	0.2154220	0.6481687	1.0380116
150	0.7550878	0.0905384	0.1199671	0.0234378	0.6016723	0.2867614	0.8086912	0.1708957	0.4794096	1.0149431
200	0.9749786	0.0560701	0.0533384	0.0093749	0.5639592	0.2880131	0.7878291	0.1304779	0.3074521	0.9428611
250	1.0675778	0.0313017	0.0721722	0.0022202	0.5493487	0.2191308	0.8203799	0.1570141	0.2628651	0.9946475
300	1.0742156	0.0233726	0.0702486	0.0013757	0.5657226	0.1876580	0.8553978	0.1456919	0.2008548	1.0304816
350	1.0723875	0.0193968	0.0686099	0.0088327	0.5853479	0.1490979	0.8187455	0.1173374	0.1632619	0.9755372
400	0.9925112	0.0206101	0.0663707	0.0019633	0.5091565	0.1816904	0.8045064	0.1253986	0.1103585	1.0135498
450	0.9996242	0.0293013	0.0733821	0.0022903	0.5471396	0.1739832	0.8368177	0.1190293	0.0956277	0.9787967
500	1.0362559	0.0313030	0.0784923	0.0031043	0.4916267	0.2126784	0.8869014	0.1254872	0.1268317	0.9567572
550	1.1105802	0.4391865	0.0419240	0.0062793	0.5370739	0.2523594	0.7201458	0.2167006	0.2111468	0.9590244
600	0.8598295	0.7455295	0.3823443	0.0053611	0.5153990	0.4296091	0.6354729	0.3138027	0.3570092	1.0677795
650	0.6230308	0.9371138	0.8123469	0.0057248	0.5211849	0.4911593	0.5411967	0.2970823	0.4926552	1.1515655
700	0.3909587	0.9233145	0.9639581	0.0134773	0.4411275	0.5426101	0.5349321	0.3042046	0.5787826	1.0036768
750	0.3071804	1.0346079	0.9232435	0.0122325	0.5195206	0.5147548	0.5447481	0.2997358	0.6501424	1.0176242
800	0.2389866	1.0289241	0.9426803	0.0022800	0.4275743	0.4302633	0.5145634	0.3195192	0.7435156	0.9970789
850	0.2442849	1.0108356	0.9277565	0.0128757	0.4807110	0.5188498	0.4970534	0.4080723	0.7223289	0.9923317
900	0.2382136	0.9921229	0.9579080	0.0031420	0.4533098	0.5767191	0.4883692	0.4226108	0.7042543	1.0461263
950	0.2346190	1.0143268	0.9843438	0.0084217	0.5154263	0.5180321	0.5104130	0.3697739	0.7583394	0.9403787
1000	0.2507327	1.0479015	0.9125408	0.0195012	0.5529734	0.4972252	0.4882303	0.3612586	0.7006407	1.0474063

0	0.2056242	1.1039552	1.1257863	0.0104747	0.5286506	0.5697073	0.5269512	0.4392992	0.6954606	0.9243886
50	0.2397916	1.0130427	1.0629626	0.0094113	0.4943141	0.4341793	0.5216706	0.3647358	0.6770257	1.0366602
100	0.2518910	0.9940287	0.9737853	0.0127291	0.3517630	0.3924162	0.4956459	0.3602016	0.6268926	1.0361888
150	0.2589383	0.9100240	0.9446861	0.0079477	0.3189211	0.3881996	0.5112090	0.3675068	0.6579858	0.9971738
200	0.2595427	0.9284868	0.8769667	0.0034030	0.3207405	0.3549003	0.5122676	0.3904326	0.7192742	0.9418145
250	0.2694875	0.9935673	0.9488358	0.0092732	0.2851071	0.3370387	0.5726947	0.3659193	0.6636058	0.9712445
300	0.3023038	0.9489227	0.9438641	0.0231862	0.3821515	0.3686745	0.5136787	0.3629501	0.6169662	1.0131825
350	0.2370765	0.9050919	0.9980703	0.0284202	0.3866682	0.3225837	0.5445063	0.3958942	0.6861955	0.9272077
400	0.2365569	1.0594834	0.8767277	0.0341998	0.3450708	0.3134543	0.5406957	0.3751048	0.6738835	1.0281222
450	0.2189553	1.0818859	1.0423721	0.0170561	0.3272410	0.3082691	0.6049395	0.4122537	0.6903042	1.0571076
500	0.1889716	1.0329674	1.0424569	0.0099643	0.3144993	0.3758450	0.5434053	0.3940985	0.7015811	1.0337296
550	0.2783783	1.0365873	0.9564788	0.0028551	0.4457629	0.3744316	0.5959941	0.3711885	0.7616890	0.9520137
600	0.2975796	1.0924541	0.9353362	0.0117717	0.5061493	0.4315699	0.5841321	0.3627277	0.7162453	1.0206618
650	0.2275590	1.0743440	0.9883228	0.0142833	0.4519399	0.5080504	0.6052551	0.3690545	0.7187638	0.9870802
700	0.2644965	1.0782203	1.0966123	0.0099725	0.5134456	0.4953409	0.5911519	0.3358657	0.7287700	1.0345130
750	0.2130765	1.0027123	1.0447116	0.0091015	0.4773030	0.5179082	0.5180171	0.3603650	0.8297441	1.0350380
800	0.2684326	0.9583050	0.9895253	0.0048511	0.5988002	0.5084820	0.5797815	0.3206309	0.7892262	1.0585260
850	0.2756599	0.9302046	1.0448553	0.0081330	0.4459653	0.4040074	0.6538056	0.3475727	0.7284378	1.1560096
900	0.2520048	1.0470608	0.9987686	0.0079058	0.4514262	0.4401766	0.5453406	0.3305365	0.6229990	1.0484800
950	0.2709218	0.9946551	0.9958512	0.0195637	0.4441825	0.4505751	0.5855183	0.3400759	0.6201742	1.0516846
1000	0.2281472	0.9623412	0.9980819	0.0241190	0.4255654	0.4451947	0.5570120	0.3853697	0.6930381	0.9589725

0	0.2056242	1.1039552	1.1257863	0.0104747	0.5286506	0.5697073	0.5269512	0.4392992	0.6954606	0.9243886
50	0.1196132	1.0847510	0.9994657	0.0080702	0.3089647	0.3447717	0.4857351	0.3806750	0.6252409	0.8848036
100	0.0552631	0.9803943	0.9349366	0.0002212	0.1842130	0.1958500	0.4797615	0.3279088	0.5975913	0.8613710
150	0.0361952	0.9946187	0.9493328	0.0022915	0.2010385	0.1506669	0.4467301	0.3103781	0.5998146	0.8659707
200	0.0325601	1.0122131	1.0438577	0.0002546	0.1084479	0.1349051	0.4577114	0.2758338	0.5915771	0.7596878
250	0.0121927	0.9712223	0.9596332	0.0003943	0.1253814	0.1251781	0.3798872	0.2979823	0.6339065	0.7554250
300	0.0006075	0.9750147	0.9316522	0.0005741	0.1319429	0.1273795	0.3865021	0.2513106	0.6774428	0.6968307
350	0.0135921	0.9867560	0.8930214	0.0006910	0.1142424	0.1029648	0.3902072	0.2539902	0.7040770	0.7842978
400	0.0036029	0.9286084	1.0290775	0.0006236	0.1074436	0.1196843	0.3969787	0.2636296	0.5667025	0.7886798
450	0.0067446	0.9111756	1.0257405	0.0021684	0.1143443	0.1231071	0.3929574	0.2814545	0.6346246	0.8107579
500	0.0130545	0.9993952	1.0131168	0.0009965	0.1394419	0.0978271	0.4548290	0.2806495	0.6184372	0.7524330
550	0.0750570	1.0249098	0.9597472	0.0017392	0.3093860	0.2447505	0.4931404	0.2989885	0.5854546	0.8384048
600	0.1742288	1.0482314	0.9353107	0.0059995	0.4419131	0.4069648	0.5160150	0.3320701	0.5823855	0.8647021
650	0.1900011	1.0514050	0.9184521	0.0232402	0.5039988	0.4641130	0.4673372	0.3615696	0.6456396	0.9115994
700	0.1593906	1.0514348	1.0692235	0.0156974	0.5645832	0.5589571	0.4792450	0.4306785	0.6546549	0.9213747
750	0.1937261	1.0732546	0.8973177	0.0094407	0.6033172	0.5203822	0.4463426	0.3952286	0.6577596	0.9940828
800	0.2183862	0.9693198	0.8995388	0.0164532	0.5973508	0.5351404	0.4859675	0.3726024	0.7551272	0.8571657
850	0.2158181	0.9950354	1.0006765	0.0094242	0.6330242	0.5652047	0.4285260	0.3487059	0.7298089	0.8696266
900	0.2921522	1.0487005	1.1542714	0.0070894	0.5893226	0.4927927	0.4236365	0.3726052	0.7022668	0.9433064
950	0.2495210	0.9620329	1.0837835	0.0113197	0.6244520	0.5407300	0.5316494	0.3976478	0.6290712	0.9187221
1000	0.2889282	0.9501645	0.9751965	0.0140723	0.6328357	0.5033896	0.4558737	0.3585596	0.7471848	0.9012929

