alkB	alkA	livK	livJ	lysU	kbl	livG	aidB	lrp
0.3600299	0.4391399	0.0348910	0.0501425	0.5367954	0.8230260	0.2684205	0.1328435	0.7036555
0.6452414	0.2304683	0.0436473	0.0525127	0.3375731	0.6586745	0.3009680	0.1511432	0.7409665
0.7121652	0.7229408	0.0424653	0.0602760	0.2108083	0.5986224	0.3143908	0.1239013	0.8124270
0.6672586	0.4351983	0.0631131	0.0318678	0.2619757	0.7170356	0.3061794	0.1480628	0.8388630
0.7043772	0.4454456	0.0590553	0.0640548	0.1128029	0.6909202	0.3246259	0.1448585	0.6823509
0.7707466	0.6037949	0.0344380	0.0786129	0.2861444	0.4380586	0.3087392	0.1664235	0.7562430
0.8503706	0.5550754	0.0350714	0.0555290	0.1971069	0.6560182	0.1501953	0.1200770	0.7288152
0.7112579	0.5547248	0.0391422	0.0529195	0.2516360	0.7591442	0.2605310	0.0635280	0.7617090
0.7437513	0.3016991	0.1081550	0.3908931	0.4546709	0.3362267	0.6014694	0.6405610	0.3082208
