alkB	alkA	livK	livJ	lysU	kbl	livG	aidB	lrp
0.0000000	0.3009932	0.0772144	0.0493354	0.9235939	0.7235083	0.3276662	0.1373998	0.7409815
0.8150152	0.0001303	0.0611936	0.0728480	0.1800400	0.6227174	0.3459261	0.2261469	0.7261730
0.6680190	0.7252125	0.0000000	0.1368284	0.2888859	0.6949569	0.3500452	0.2311328	0.7168307
0.7870373	0.5044617	0.0255215	0.0000000	0.1802969	0.7260608	0.2903129	0.1313275	0.7500386
0.7724603	0.4694057	0.0272401	0.0478859	0.0000000	0.8871061	0.2876875	0.0917396	0.6827718
0.7032522	0.5155023	0.0683949	0.0651732	0.2705465	0.0000000	0.3113568	0.1330559	0.8251061
0.7346730	0.4482763	0.0303786	0.1127398	0.3306110	0.5776655	0.0000000	0.2317178	0.7059965
0.7593804	0.5590874	0.0613010	0.0389702	0.2284807	0.6665813	0.1766534	0.0000000	0.6812039
0.6953864	0.0430190	0.8177105	0.7430172	0.7503994	0.0608351	0.8057435	0.6052041	0.0000000
