alkB	alkA	livK	livJ	lysU	kbl	livG	aidB	lrp
0.5001462	0.6002448	0.0643022	0.0908454	0.6801186	0.9651880	0.3721385	0.1900264	1.0012257
0.9127100	0.3210337	0.0808718	0.0688031	0.3860291	0.9297825	0.3743830	0.1946040	1.0906080
1.0483757	0.8788241	0.0597792	0.1157054	0.3083939	0.8663802	0.4671723	0.2562738	1.0512363
1.0431774	0.6954592	0.0837374	0.0524680	0.3654215	1.0366479	0.4426348	0.2350256	1.1491823
0.9904598	0.7035404	0.0611070	0.1342568	0.1144882	0.8728701	0.3965388	0.2467656	1.0346077
1.0111153	0.7877933	0.0647261	0.1015481	0.3578404	0.5164591	0.4487223	0.1932170	1.0690855
1.1645883	0.6966645	0.0463088	0.0692637	0.3494377	0.9446549	0.1880181	0.1517666	0.9569280
0.9093581	0.7459018	0.0545680	0.0922977	0.3408980	1.0519940	0.4315070	0.1230001	1.0994323
0.9714628	0.4238046	0.1794809	0.4916707	0.6691293	0.5356405	0.8863986	0.8537256	0.4311185
