alkB	alkA	livK	livJ	lysU	kbl	livG	aidB	lrp
0.5000000	0.5353100	0.0621739	0.0973100	0.6938158	0.9726898	0.3995491	0.2273051	1.0000000
1.0000000	0.3381871	0.0621739	0.0973100	0.3316647	0.9726898	0.3995491	0.2273051	1.0000000
1.0000000	0.8429922	0.0310869	0.0973100	0.3316647	0.9726898	0.3995491	0.2273051	1.0000000
1.0000000	0.6761895	0.0621739	0.0486552	0.3316647	0.9726898	0.3995491	0.2273051	1.0000000
1.0000000	0.6798137	0.0621739	0.0973100	0.1658324	0.9726898	0.3995491	0.2273051	1.0000000
1.0000000	0.6761895	0.0621739	0.0973100	0.3316647	0.4863469	0.3995491	0.2273051	1.0000000
1.0000000	0.6761895	0.0621739	0.0973100	0.3316647	0.9726898	0.1997746	0.2273051	1.0000000
1.0000000	0.6761895	0.0621739	0.0973100	0.3316647	0.9726898	0.3995491	0.1136696	1.0000000
1.0000000	0.4526521	0.1374885	0.3912089	0.5524612	0.6041996	0.8686413	0.8328442	0.5000002
