alkB	alkA	livK	livJ	lysU	kbl	livG	aidB	lrp
0.0000000	0.3450125	0.0748882	0.1085563	1.0809626	0.9677839	0.4316738	0.2339346	1.0350515
1.1137984	0.0003346	0.0877067	0.1351380	0.2910367	0.9873001	0.4861054	0.3220437	0.9773801
1.0029931	0.9616453	0.0000000	0.1397807	0.3640010	0.9500947	0.5448151	0.3387561	1.0201720
1.0494152	0.7130820	0.0490887	0.0000000	0.3366354	0.9650533	0.3426494	0.2622028	1.0466586
1.0355075	0.7017095	0.0656487	0.0761539	0.0000000	1.0090487	0.3997239	0.2035287	0.9950324
1.0392655	0.7111048	0.0557229	0.0887712	0.3306358	0.0000000	0.4185195	0.2126625	1.0603785
0.9720664	0.6264510	0.0456491	0.1230334	0.3893856	0.8848863	0.0000000	0.2830423	1.0351866
0.9513081	0.6456593	0.0798676	0.0723349	0.3493898	0.9488048	0.3125904	0.0000000	0.9549081
1.0324309	0.0787762	1.0321315	1.0494547	1.0871282	0.0595756	1.1151405	0.9812616	0.0000000
