"Time"	G4	G3	G14	G13	G1	G12	G0	G11	G10	G8	G7	G6	G5
650	0.1014918	0.0447528	0.1041766	0.6587621	0.1149259	0.8997289	1.0000000	0.1821284	0.3772565	0.2541315	0.4428378	0.6403941	0.2111065
700	0.0970421	0.0447528	0.1041769	0.6586192	0.1149259	0.8994727	1.0000000	0.1952316	0.4775070	0.2567237	0.4452950	0.6692052	0.2102396
750	0.0946535	0.0447528	0.1041770	0.6586065	0.1149259	0.8995745	1.0000000	0.2015051	0.5454994	0.2575666	0.4437457	0.6821343	0.2071118
800	0.0934551	0.0447528	0.1041770	0.6585482	0.1149259	0.8997852	1.0000000	0.2042629	0.5865473	0.2578167	0.4417155	0.6865500	0.2045807
850	0.0928782	0.0447528	0.1041769	0.6584330	0.1149259	0.8999823	1.0000000	0.2054010	0.6092829	0.2578614	0.4401435	0.6874155	0.2032509
900	0.0926096	0.0447528	0.1041769	0.6583008	0.1149259	0.9001283	1.0000000	0.2058405	0.6210688	0.2578412	0.4391183	0.6871166	0.2028008
950	0.0924888	0.0447528	0.1041768	0.6581835	0.1149259	0.9002242	1.0000000	0.2059934	0.6268466	0.2578080	0.4385070	0.6866020	0.2027948
1000	0.0924366	0.0447528	0.1041768	0.6580940	0.1149259	0.9002827	1.0000000	0.2060356	0.6295317	0.2577793	0.4381628	0.6861728	0.2029429

0	0.0924024	0.0447531	0.1041768	0.6579374	0.1149260	0.9003578	1.0000000	0.2060122	0.6315926	0.2577268	0.4377679	0.6854601	0.2034488
50	0.0924044	0.2340240	0.1041768	0.2244418	0.0399898	0.9003566	1.0000000	0.2060085	0.7235892	0.2577268	0.1192504	0.6453457	0.0645599
100	0.0924053	0.3069627	0.1041768	0.0768421	0.0153185	0.9003558	1.0000000	0.2060071	0.7530707	0.2577271	0.0581741	0.5708803	0.0307540
150	0.0924057	0.3353383	0.1041768	0.0265863	0.0071960	0.9003553	1.0000000	0.2060067	0.7625171	0.2577273	0.0464620	0.5343231	0.0232636
200	0.0924058	0.3465739	0.1041768	0.0094748	0.0045218	0.9003550	1.0000000	0.2060066	0.7655436	0.2577275	0.0442161	0.5222674	0.0219764
250	0.0924059	0.3510565	0.1041768	0.0036485	0.0036414	0.9003549	1.0000000	0.2060067	0.7665132	0.2577276	0.0437856	0.5187162	0.0219217
300	0.0924059	0.3528492	0.1041768	0.0016648	0.0033515	0.9003548	1.0000000	0.2060067	0.7668239	0.2577276	0.0437031	0.5176957	0.0220162
350	0.0924059	0.3535666	0.1041768	0.0009893	0.0032561	0.9003548	1.0000000	0.2060068	0.7669235	0.2577277	0.0436873	0.5174017	0.0220810
400	0.0924059	0.3538538	0.1041768	0.0007594	0.0032247	0.9003547	1.0000000	0.2060068	0.7669555	0.2577277	0.0436843	0.5173161	0.0221123
450	0.0924059	0.3539688	0.1041768	0.0006811	0.0032143	0.9003547	1.0000000	0.2060068	0.7669659	0.2577277	0.0436838	0.5172910	0.0221255
500	0.0924059	0.3540149	0.1041768	0.0006544	0.0032109	0.9003547	1.0000000	0.2060069	0.7669692	0.2577277	0.0436836	0.5172836	0.0221307
550	0.0924059	0.1605808	0.1041768	0.4341419	0.0781459	0.9003547	1.0000000	0.2060069	0.6748427	0.2577277	0.3624611	0.5294919	0.1867069
600	0.0924059	0.0853756	0.1041768	0.5817389	0.1028168	0.9003547	1.0000000	0.2060069	0.6453059	0.2577277	0.4235527	0.5858520	0.2251954
650	0.0924059	0.0581804	0.1041768	0.6319938	0.1109393	0.9003547	1.0000000	0.2060069	0.6358360	0.2577277	0.4351174	0.6385818	0.2281141
700	0.0924059	0.0489695	0.1041768	0.6491050	0.1136134	0.9003547	1.0000000	0.2060069	0.6327999	0.2577277	0.4372085	0.6666240	0.2211024
750	0.0924059	0.0460048	0.1041768	0.6549311	0.1144938	0.9003547	1.0000000	0.2060069	0.6318265	0.2577277	0.4375788	0.6785134	0.2136936
800	0.0924059	0.0450967	0.1041768	0.6569148	0.1147837	0.9003547	1.0000000	0.2060069	0.6315144	0.2577277	0.4376703	0.6830145	0.2086616
850	0.0924059	0.0448352	0.1041768	0.6575903	0.1148791	0.9003547	1.0000000	0.2060069	0.6314143	0.2577277	0.4377162	0.6846171	0.2058722
900	0.0924059	0.0447667	0.1041768	0.6578202	0.1149105	0.9003547	1.0000000	0.2060069	0.6313822	0.2577277	0.4377462	0.6851727	0.2045046
950	0.0924059	0.0447518	0.1041768	0.6578986	0.1149209	0.9003547	1.0000000	0.2060069	0.6313719	0.2577277	0.4377649	0.6853664	0.2038866
1000	0.0924059	0.0447502	0.1041768	0.6579252	0.1149243	0.9003547	1.0000000	0.2060069	0.6313686	0.2577277	0.4377756	0.6854365	0.2036223

0	0.0924024	0.0447531	0.1041768	0.6579374	0.1149260	0.9003578	1.0000000	0.2060122	0.6315926	0.2577268	0.4377679	0.6854601	0.2034488
50	0.0946952	0.0424876	0.0011712	0.4606460	0.0469107	0.8947922	0.7726522	0.2016624	0.6107771	0.2207010	0.1248612	0.6435837	0.2042761
100	0.1073058	0.0375224	0.0000484	0.3977528	0.0353855	0.8751670	0.6900128	0.1918295	0.5510794	0.2208913	0.0688077	0.5587028	0.2112367
150	0.1284717	0.0344602	0.0000571	0.3855119	0.0481866	0.8507242	0.6599740	0.1872640	0.5014605	0.2341376	0.0639208	0.5032011	0.2203813
200	0.1449643	0.0335864	0.0000782	0.3935159	0.0670132	0.8299236	0.6490551	0.1899058	0.4877813	0.2491250	0.0697749	0.4724671	0.2223467
250	0.1509430	0.0343754	0.0000949	0.4078446	0.0821276	0.8154324	0.6450862	0.1964079	0.5043879	0.2614485	0.0766695	0.4562593	0.2173443
300	0.1496772	0.0361679	0.0001062	0.4216367	0.0915051	0.8066414	0.6436435	0.2034769	0.5350623	0.2701944	0.0814189	0.4485403	0.2114627
350	0.1456535	0.0381719	0.0001130	0.4321740	0.0965339	0.8019687	0.6431191	0.2094082	0.5672121	0.2758153	0.0835187	0.4452628	0.2086423
400	0.1414954	0.0398415	0.0001166	0.4390952	0.0989962	0.7998679	0.6429285	0.2137323	0.5945555	0.2791221	0.0836926	0.4439724	0.2091403
450	0.1382028	0.0410058	0.0001183	0.4430882	0.1001309	0.7991730	0.6428592	0.2165917	0.6151991	0.2808898	0.0828764	0.4434352	0.2115757
500	0.1359300	0.0417268	0.0001189	0.4450906	0.1006320	0.7991379	0.6428340	0.2183333	0.6295136	0.2817258	0.0817618	0.4431436	0.2145703
550	0.1251108	0.0461733	0.1032780	0.6443927	0.1741959	0.8108569	0.8701727	0.2230072	0.6562745	0.3147084	0.4170343	0.4831329	0.2166304
600	0.1085162	0.0536939	0.1042682	0.7027810	0.1552728	0.8402262	0.9528087	0.2301555	0.7013391	0.3068996	0.4674254	0.5844312	0.2180632
650	0.0986353	0.0550660	0.1042201	0.7069030	0.1350921	0.8657486	0.9828463	0.2315216	0.7309668	0.2909953	0.4639872	0.6539547	0.2161491
700	0.0939438	0.0527340	0.1041960	0.6944889	0.1241254	0.8820782	0.9937647	0.2276555	0.7375402	0.2776762	0.4539040	0.6828619	0.2108817
750	0.0920702	0.0498824	0.1041855	0.6811361	0.1189584	0.8912425	0.9977335	0.2218340	0.7266186	0.2688122	0.4461946	0.6906998	0.2060757
800	0.0915510	0.0477155	0.1041808	0.6713320	0.1166523	0.8960194	0.9991762	0.2164074	0.7070244	0.2635624	0.4415648	0.6907636	0.2034803
850	0.0915916	0.0463493	0.1041786	0.6651843	0.1156522	0.8983846	0.9997005	0.2123161	0.6860918	0.2606713	0.4391384	0.6889720	0.2026626
900	0.0917990	0.0455720	0.1041776	0.6616640	0.1152270	0.8995061	0.9998911	0.2096033	0.6680847	0.2591588	0.4380244	0.6873384	0.2027070
950	0.0920070	0.0451581	0.1041771	0.6597701	0.1150491	0.9000151	0.9999604	0.2079564	0.6545260	0.2583988	0.4376039	0.6862843	0.2029926
1000	0.0921641	0.0449476	0.1041769	0.6588000	0.1149758	0.9002343	0.9999856	0.2070197	0.6452373	0.2580303	0.4375077	0.6857217	0.2032479

0	0.0924024	0.0447531	0.1041768	0.6579374	0.1149260	0.9003578	1.0000000	0.2060122	0.6315926	0.2577268	0.4377679	0.6854601	0.2034488
50	0.0408827	0.0447529	0.1041767	0.6579109	0.1149259	0.9008853	1.0000000	0.1259968	0.5761757	0.2577165	0.4312992	0.6853179	0.1782133
100	0.0187396	0.0447529	0.1041765	0.6575983	0.1149259	0.9023968	1.0000000	0.1043267	0.4975712	0.2575952	0.4140047	0.6824426	0.1768295
150	0.0092242	0.0447529	0.1041762	0.6568733	0.1149259	0.9037848	1.0000000	0.0984355	0.4437879	0.2573199	0.3989729	0.6755881	0.1789258
200	0.0051385	0.0447528	0.1041758	0.6560179	0.1149259	0.9046436	1.0000000	0.0967926	0.4171604	0.2570030	0.3901709	0.6676857	0.1808785
250	0.0033874	0.0447528	0.1041756	0.6553063	0.1149259	0.9050836	1.0000000	0.0962898	0.4051424	0.2567461	0.3859292	0.6613685	0.1826202
300	0.0026393	0.0447528	0.1041755	0.6548256	0.1149259	0.9052872	1.0000000	0.0961018	0.3997402	0.2565772	0.3840863	0.6573089	0.1840984
350	0.0023211	0.0447528	0.1041755	0.6545420	0.1149259	0.9053762	1.0000000	0.0960129	0.3972412	0.2564802	0.3833222	0.6550437	0.1852085
400	0.0021864	0.0447528	0.1041754	0.6543894	0.1149259	0.9054140	1.0000000	0.0959645	0.3960456	0.2564296	0.3830068	0.6538934	0.1859470
450	0.0021298	0.0447528	0.1041754	0.6543126	0.1149259	0.9054299	1.0000000	0.0959374	0.3954596	0.2564047	0.3828732	0.6533444	0.1863918
500	0.0021062	0.0447528	0.1041754	0.6542757	0.1149259	0.9054365	1.0000000	0.0959226	0.3951692	0.2563931	0.3828144	0.6530921	0.1866398
550	0.0536830	0.0447528	0.1041754	0.6542604	0.1149259	0.9053822	1.0000000	0.1756145	0.4319663	0.2563886	0.3846492	0.6530333	0.2178119
600	0.0758515	0.0447528	0.1041755	0.6543071	0.1149259	0.9048967	1.0000000	0.1971896	0.4848804	0.2564076	0.3943415	0.6541550	0.2247263
650	0.0853784	0.0447528	0.1041756	0.6545566	0.1149259	0.9039128	1.0000000	0.2030411	0.5429339	0.2565041	0.4080124	0.6581374	0.2236655
700	0.0894673	0.0447528	0.1041759	0.6550674	0.1149259	0.9028122	1.0000000	0.2046643	0.5838188	0.2566978	0.4197163	0.6643968	0.2195862
750	0.0912136	0.0447528	0.1041761	0.6557296	0.1149259	0.9018977	1.0000000	0.2051783	0.6068818	0.2569443	0.4276506	0.6709240	0.2150434
800	0.0919494	0.0447528	0.1041764	0.6563832	0.1149259	0.9012573	1.0000000	0.2054151	0.6186469	0.2571832	0.4323964	0.6762766	0.2111953
850	0.0922505	0.0447528	0.1041765	0.6569221	0.1149259	0.9008549	1.0000000	0.2055793	0.6244736	0.2573767	0.4350306	0.6800439	0.2083412
900	0.0923667	0.0447528	0.1041766	0.6573140	0.1149259	0.9006201	1.0000000	0.2057101	0.6274282	0.2575150	0.4364225	0.6824358	0.2063952
950	0.0924067	0.0447528	0.1041767	0.6575741	0.1149259	0.9004903	1.0000000	0.2058113	0.6290191	0.2576053	0.4371317	0.6838474	0.2051496
1000	0.0924169	0.0447528	0.1041767	0.6577350	0.1149259	0.9004216	1.0000000	0.2058843	0.6299368	0.2576602	0.4374821	0.6846364	0.2043928

0	0.0924024	0.0447531	0.1041768	0.6579374	0.1149260	0.9003578	1.0000000	0.2060122	0.6315926	0.2577268	0.4377679	0.6854601	0.2034488
50	0.0924044	0.0447529	0.1041768	0.3071612	0.1149259	0.9003566	1.0000000	0.1662861	0.6175337	0.2577268	0.4377763	0.6854678	0.2034496
100	0.0924053	0.0447529	0.1041768	0.1877269	0.1149259	0.9003558	1.0000000	0.1555293	0.5798629	0.2577271	0.4377812	0.6854739	0.2034474
150	0.0924057	0.0447529	0.1041768	0.1470613	0.1149259	0.9003553	1.0000000	0.1526168	0.5465723	0.2577273	0.4377839	0.6854780	0.2034450
200	0.0924058	0.0447528	0.1041768	0.1332154	0.1149259	0.9003550	1.0000000	0.1518282	0.5262141	0.2577275	0.4377854	0.6854805	0.2034431
250	0.0924059	0.0447528	0.1041768	0.1285012	0.1149259	0.9003549	1.0000000	0.1516147	0.5156641	0.2577276	0.4377861	0.6854820	0.2034418
300	0.0924059	0.0447528	0.1041768	0.1268961	0.1149259	0.9003548	1.0000000	0.1515569	0.5106692	0.2577276	0.4377865	0.6854829	0.2034410
350	0.0924059	0.0447528	0.1041768	0.1263497	0.1149259	0.9003548	1.0000000	0.1515413	0.5084354	0.2577277	0.4377867	0.6854833	0.2034405
400	0.0924059	0.0447528	0.1041768	0.1261636	0.1149259	0.9003547	1.0000000	0.1515371	0.5074752	0.2577277	0.4377868	0.6854836	0.2034402
450	0.0924059	0.0447528	0.1041768	0.1261003	0.1149259	0.9003547	1.0000000	0.1515360	0.5070744	0.2577277	0.4377869	0.6854837	0.2034401
500	0.0924059	0.0447528	0.1041768	0.1260787	0.1149259	0.9003547	1.0000000	0.1515357	0.5069107	0.2577277	0.4377869	0.6854838	0.2034400
550	0.0924059	0.0447528	0.1041768	0.4768473	0.1149259	0.9003547	1.0000000	0.1912579	0.5188694	0.2577277	0.4377869	0.6854838	0.2034400
600	0.0924059	0.0447528	0.1041768	0.5962796	0.1149259	0.9003547	1.0000000	0.2020134	0.5540297	0.2577277	0.4377869	0.6854838	0.2034400
650	0.0924059	0.0447528	0.1041768	0.6369447	0.1149259	0.9003547	1.0000000	0.2049256	0.5876616	0.2577277	0.4377869	0.6854838	0.2034399
700	0.0924059	0.0447528	0.1041768	0.6507907	0.1149259	0.9003547	1.0000000	0.2057141	0.6094322	0.2577277	0.4377869	0.6854838	0.2034399
750	0.0924059	0.0447528	0.1041768	0.6555051	0.1149259	0.9003547	1.0000000	0.2059276	0.6211566	0.2577277	0.4377869	0.6854838	0.2034399
800	0.0924059	0.0447528	0.1041768	0.6571103	0.1149259	0.9003547	1.0000000	0.2059854	0.6268512	0.2577277	0.4377869	0.6854838	0.2034399
850	0.0924059	0.0447528	0.1041768	0.6576568	0.1149259	0.9003547	1.0000000	0.2060011	0.6294418	0.2577277	0.4377869	0.6854838	0.2034399
900	0.0924059	0.0447528	0.1041768	0.6578429	0.1149259	0.9003547	1.0000000	0.2060053	0.6305685	0.2577277	0.4377869	0.6854838	0.2034399
950	0.0924059	0.0447528	0.1041768	0.6579063	0.1149259	0.9003547	1.0000000	0.2060064	0.6310427	0.2577277	0.4377869	0.6854838	0.2034399
1000	0.0924059	0.0447528	0.1041768	0.6579278	0.1149259	0.9003547	1.0000000	0.2060068	0.6312375	0.2577277	0.4377869	0.6854838	0.2034399

0	0.0924024	0.0447531	0.1041768	0.6579374	0.1149260	0.9003578	1.0000000	0.2060122	0.6315926	0.2577268	0.4377679	0.6854601	0.2034488
50	0.0924044	0.0447529	0.1041768	0.3269825	0.1149259	0.9003566	1.0000000	0.2060085	0.6314694	0.2577268	0.4377826	0.9225197	0.1913815
100	0.0924053	0.0447529	0.1041768	0.2142971	0.1149259	0.9003558	1.0000000	0.2060071	0.6314115	0.2577271	0.4378475	0.9781885	0.1631325
150	0.0924057	0.0447529	0.1041768	0.1759296	0.1149259	0.9003553	1.0000000	0.2060067	0.6313852	0.2577273	0.4379443	0.9912617	0.1420854
200	0.0924058	0.0447528	0.1041768	0.1628662	0.1149259	0.9003550	1.0000000	0.2060066	0.6313738	0.2577275	0.4380152	0.9943322	0.1312200
250	0.0924059	0.0447528	0.1041768	0.1584184	0.1149259	0.9003549	1.0000000	0.2060067	0.6313691	0.2577276	0.4380529	0.9950537	0.1264594
300	0.0924059	0.0447528	0.1041768	0.1569041	0.1149259	0.9003548	1.0000000	0.2060067	0.6313674	0.2577276	0.4380705	0.9952235	0.1245556
350	0.0924059	0.0447528	0.1041768	0.1563885	0.1149259	0.9003548	1.0000000	0.2060068	0.6313669	0.2577277	0.4380784	0.9952635	0.1238374
400	0.0924059	0.0447528	0.1041768	0.1562130	0.1149259	0.9003547	1.0000000	0.2060068	0.6313668	0.2577277	0.4380820	0.9952730	0.1235772
450	0.0924059	0.0447528	0.1041768	0.1561532	0.1149259	0.9003547	1.0000000	0.2060068	0.6313669	0.2577277	0.4380835	0.9952752	0.1234857
500	0.0924059	0.0447528	0.1041768	0.1561329	0.1149259	0.9003547	1.0000000	0.2060069	0.6313669	0.2577277	0.4380842	0.9952758	0.1234542
550	0.0924059	0.0447528	0.1041768	0.4870804	0.1149259	0.9003547	1.0000000	0.2060069	0.6313670	0.2577277	0.4380836	0.7583675	0.1345417
600	0.0924059	0.0447528	0.1041768	0.5997638	0.1149259	0.9003547	1.0000000	0.2060069	0.6313670	0.2577277	0.4380725	0.7027336	0.1619171
650	0.0924059	0.0447528	0.1041768	0.6381311	0.1149259	0.9003547	1.0000000	0.2060069	0.6313671	0.2577277	0.4380373	0.6896638	0.1834646
700	0.0924059	0.0447528	0.1041768	0.6511946	0.1149259	0.9003547	1.0000000	0.2060069	0.6313671	0.2577277	0.4379778	0.6865800	0.1949659
750	0.0924059	0.0447528	0.1041768	0.6556426	0.1149259	0.9003547	1.0000000	0.2060069	0.6313671	0.2577277	0.4379121	0.6858320	0.2001002
800	0.0924059	0.0447528	0.1041768	0.6571571	0.1149259	0.9003547	1.0000000	0.2060069	0.6313671	0.2577277	0.4378591	0.6856292	0.2021787
850	0.0924059	0.0447528	0.1041768	0.6576728	0.1149259	0.9003547	1.0000000	0.2060069	0.6313671	0.2577277	0.4378247	0.6855578	0.2029726
900	0.0924059	0.0447528	0.1041768	0.6578483	0.1149259	0.9003547	1.0000000	0.2060069	0.6313671	0.2577277	0.4378053	0.6855240	0.2032662
950	0.0924059	0.0447528	0.1041768	0.6579081	0.1149259	0.9003547	1.0000000	0.2060069	0.6313671	0.2577277	0.4377955	0.6855054	0.2033737
1000	0.0924059	0.0447528	0.1041768	0.6579285	0.1149259	0.9003547	1.0000000	0.2060069	0.6313671	0.2577277	0.4377907	0.6854950	0.2034136

0	0.0924024	0.0447531	0.1041768	0.6579374	0.1149260	0.9003578	1.0000000	0.2060122	0.6315926	0.2577268	0.4377679	0.6854601	0.2034488
50	0.0924168	0.4145147	0.1041722	0.6522375	0.0474480	0.9452684	1.0000000	0.2059156	0.7449257	0.2554834	0.4377766	0.6854678	0.2034494
100	0.0925670	0.5611878	0.1041660	0.6380961	0.0252322	0.9621179	1.0000000	0.2049045	0.7784875	0.2500620	0.4377964	0.6854743	0.2034396
150	0.0929336	0.6194423	0.1041629	0.6261979	0.0179181	0.9684380	1.0000000	0.2027364	0.7831754	0.2456395	0.4378852	0.6854863	0.2033916
200	0.0934107	0.6426675	0.1041615	0.6190272	0.0155100	0.9708051	1.0000000	0.2003010	0.7775500	0.2430627	0.4380922	0.6855252	0.2032766
250	0.0938575	0.6519453	0.1041610	0.6153147	0.0147172	0.9716873	1.0000000	0.1983325	0.7694792	0.2417755	0.4384003	0.6856135	0.2030974
300	0.0941989	0.6556545	0.1041608	0.6135515	0.0144562	0.9720119	1.0000000	0.1970252	0.7622503	0.2411864	0.4387455	0.6857542	0.2028833
350	0.0944265	0.6571381	0.1041607	0.6127603	0.0143703	0.9721280	1.0000000	0.1962627	0.7568812	0.2409317	0.4390643	0.6859276	0.2026689
400	0.0945644	0.6577316	0.1041607	0.6124199	0.0143420	0.9721671	1.0000000	0.1958569	0.7533245	0.2408263	0.4393207	0.6861049	0.2024786
450	0.0946422	0.6579691	0.1041606	0.6122787	0.0143327	0.9721787	1.0000000	0.1956553	0.7511540	0.2407842	0.4395070	0.6862627	0.2023241
500	0.0946839	0.6580641	0.1041606	0.6122222	0.0143296	0.9721810	1.0000000	0.1955602	0.7499111	0.2407681	0.4396320	0.6863887	0.2022069
550	0.0946914	0.2826148	0.1041641	0.6167430	0.0818065	0.9271546	1.0000000	0.1955967	0.6250866	0.2426250	0.4397105	0.6864811	0.2021229
600	0.0945328	0.1346865	0.1041699	0.6295403	0.1040220	0.9102595	1.0000000	0.1964874	0.5883697	0.2476349	0.4397410	0.6865439	0.2020742
650	0.0941342	0.0781969	0.1041737	0.6417555	0.1113360	0.9039274	1.0000000	0.1985404	0.5844764	0.2521863	0.4396709	0.6865760	0.2020892
700	0.0936391	0.0571015	0.1041756	0.6497841	0.1137440	0.9015700	1.0000000	0.2009548	0.5926645	0.2550441	0.4394595	0.6865606	0.2021929
750	0.0931997	0.0493058	0.1041763	0.6541717	0.1145368	0.9007117	1.0000000	0.2029737	0.6035828	0.2565393	0.4391418	0.6864802	0.2023705
800	0.0928778	0.0464349	0.1041766	0.6563204	0.1147978	0.9004170	1.0000000	0.2043499	0.6132092	0.2572408	0.4387950	0.6863398	0.2025820
850	0.0926693	0.0453768	0.1041767	0.6572950	0.1148838	0.9003298	1.0000000	0.2051690	0.6203282	0.2575453	0.4384839	0.6861659	0.2027897
900	0.0925453	0.0449855	0.1041768	0.6577090	0.1149121	0.9003148	1.0000000	0.2056110	0.6250473	0.2576686	0.4382401	0.6859908	0.2029705
950	0.0924764	0.0448402	0.1041768	0.6578726	0.1149214	0.9003213	1.0000000	0.2058319	0.6279345	0.2577145	0.4380666	0.6858381	0.2031150
1000	0.0924400	0.0447858	0.1041768	0.6579308	0.1149244	0.9003316	1.0000000	0.2059353	0.6295909	0.2577292	0.4379521	0.6857182	0.2032235

0	0.0924024	0.0447531	0.1041768	0.6579374	0.1149260	0.9003578	1.0000000	0.2060122	0.6315926	0.2577268	0.4377679	0.6854601	0.2034488
50	0.0932041	0.3862075	0.1041828	0.6524102	0.1171211	0.9431231	0.8515694	0.2059980	0.6281156	0.2576056	0.4392756	0.6841876	0.2035103
100	0.0964699	0.5232981	0.1041982	0.6391269	0.1257943	0.9559737	0.7976160	0.2060379	0.6184170	0.2589791	0.4439148	0.6799747	0.2037091
150	0.1010214	0.5788486	0.1042135	0.6288440	0.1378845	0.9580053	0.7780043	0.2066113	0.6106866	0.2622002	0.4495415	0.6753807	0.2037428
200	0.1048717	0.6019800	0.1042243	0.6236487	0.1486279	0.9570569	0.7708756	0.2079142	0.6092720	0.2655393	0.4548218	0.6726678	0.2032408
