"Time"	G4	G3	G14	G13	G1	G12	G0	G11	G10	G8	G7	G6	G5

0	0.0976771	0.0322063	0.1161430	0.6361083	0.1325127	0.9069393	0.9814027	0.2135036	0.5584270	0.2653462	0.4876152	0.7266034	0.1789327
50	0.0915826	0.0389134	0.1251951	0.6532158	0.0993131	0.8970975	0.9747819	0.2217783	0.5344676	0.2474164	0.4043932	0.7390417	0.2170922
100	0.0926496	0.0512314	0.1232463	0.6126989	0.1339567	0.8926717	1.0936213	0.2377458	0.6284534	0.2629541	0.4280393	0.7346439	0.1811824
150	0.1031816	0.0558723	0.1093999	0.6182819	0.1205673	0.9344082	0.9905952	0.1772771	0.6326875	0.2584497	0.4276951	0.6585046	0.1978683
200	0.0873325	0.0627941	0.0827954	0.5847694	0.1146597	0.8784785	0.9947213	0.1694490	0.5378876	0.2178531	0.4429802	0.6734544	0.2155411
250	0.1006181	0.0503490	0.1048097	0.6425725	0.1307218	0.9024761	0.9912300	0.1669395	0.5792110	0.2626332	0.4110012	0.6772169	0.2557816
300	0.1273243	0.0634645	0.0899797	0.6639697	0.1430500	0.9481008	0.9531756	0.1649242	0.6626389	0.2537160	0.3995076	0.6399143	0.2115025
350	0.1233952	0.0640349	0.0833364	0.6508053	0.1453994	0.9657168	0.9892131	0.2361297	0.7295306	0.2761837	0.3502630	0.8090835	0.2244931
400	0.1271014	0.0484346	0.0889732	0.6467387	0.1257428	0.8923031	0.9976424	0.2105030	0.6897470	0.2862743	0.4969011	0.7027483	0.1844473
450	0.1083355	0.0370423	0.0945573	0.7122097	0.1121477	0.8317544	0.9658806	0.2340336	0.6523439	0.2607679	0.4505710	0.6887033	0.2040206
500	0.1071313	0.0369441	0.0991168	0.6544129	0.0945517	0.9591220	1.0233047	0.2372764	0.7618275	0.2488801	0.4951917	0.6598698	0.1749961
550	0.1134047	0.0577470	0.0919741	0.6551238	0.1161401	0.9437225	1.0568873	0.2178638	0.6384227	0.2332520	0.4922096	0.7287402	0.1671880
600	0.1473440	0.0568155	0.1343467	0.5741628	0.1190578	0.9212412	1.0225230	0.2275233	0.6344141	0.2085747	0.5615123	0.6619271	0.1693378
650	0.0913046	0.0428252	0.0854180	0.5966509	0.1101680	0.9972853	1.0051706	0.2055834	0.6384375	0.2325335	0.5085897	0.6812224	0.1371058
700	0.1209631	0.0441419	0.0814694	0.5375163	0.1111363	0.9465906	0.9389345	0.1780753	0.5531060	0.2109887	0.4993439	0.7412863	0.1277772
750	0.1149497	0.0325602	0.0928531	0.5839807	0.1288330	0.9256253	1.0567532	0.1551988	0.5382718	0.2547219	0.4729351	0.7451462	0.1717335
800	0.0944461	0.0470457	0.0936870	0.5775831	0.1161107	0.9336415	1.0431609	0.1633040	0.5632096	0.2513603	0.4444987	0.6910365	0.1594942
