"Time"	G4	G3	G2	G1	G12	G0	G11	G10	G9	G8	G7	G6	G5

0	0.3202527	0.1531265	0.1816269	0.9711070	0.6222279	1.0000000	0.5732494	0.1007685	0.0003110	0.4606430	0.3396901	0.5178234	0.9994165
50	0.3200963	0.1547935	0.3259117	0.9745958	0.6155345	0.9162802	0.1368401	0.1122090	0.0002680	0.4715715	0.3225640	0.5171594	0.9994167
100	0.3178667	0.1585208	0.3614892	0.9795864	0.5973882	0.8928330	0.0855508	0.1393302	0.0003114	0.4989318	0.2875678	0.5112479	0.9994220
150	0.3122458	0.1614314	0.3709923	0.9822109	0.5792710	0.8862662	0.0846299	0.1548529	0.0004486	0.5225207	0.2585680	0.4994863	0.9994476
200	0.3048984	0.1631474	0.3738932	0.9832166	0.5645736	0.8844271	0.0880428	0.1579965	0.0006137	0.5370619	0.2356890	0.4852134	0.9994992
250	0.2980629	0.1640731	0.3749297	0.9834937	0.5528561	0.8839120	0.0903244	0.1562042	0.0007253	0.5447696	0.2171239	0.4705989	0.9995623
300	0.2928881	0.1645608	0.3753516	0.9835146	0.5436480	0.8837678	0.0915058	0.1536541	0.0007676	0.5485462	0.2028072	0.4566986	0.9996190
350	0.2894657	0.1648165	0.3755376	0.9834717	0.5367835	0.8837274	0.0920686	0.1516919	0.0007669	0.5503175	0.1926712	0.4444203	0.9996612
400	0.2874030	0.1649498	0.3756230	0.9834278	0.5320219	0.8837161	0.0923268	0.1504577	0.0007503	0.5511278	0.1860550	0.4345007	0.9996892
450	0.2862397	0.1650187	0.3756628	0.9833968	0.5289490	0.8837129	0.0924431	0.1497587	0.0007325	0.5514934	0.1820168	0.4271895	0.9997063
500	0.2856148	0.1650539	0.3756816	0.9833779	0.5270884	0.8837120	0.0924949	0.1493878	0.0007187	0.5516571	0.1796819	0.4222329	0.9997163
550	0.2855041	0.1629888	0.2314273	0.9819770	0.5337659	0.9674316	0.5294076	0.1337311	0.0008456	0.5395293	0.1891137	0.4202130	0.9997216
600	0.2883684	0.1585551	0.1956983	0.9779506	0.5530110	0.9908787	0.5789423	0.1093656	0.0007336	0.5107198	0.2130521	0.4276023	0.9997208
650	0.2951414	0.1555736	0.1861386	0.9743328	0.5717619	0.9974454	0.5796615	0.0981335	0.0005421	0.4874699	0.2381278	0.4430888	0.9997034
700	0.3029835	0.1541943	0.1832650	0.9723262	0.5869620	0.9992845	0.5767420	0.0956769	0.0004034	0.4738434	0.2631472	0.4603690	0.9996635
750	0.3095099	0.1536311	0.1822808	0.9714650	0.5987801	0.9997996	0.5749181	0.0965328	0.0003306	0.4668501	0.2864262	0.4763451	0.9996085
800	0.3140361	0.1533932	0.1819050	0.9711571	0.6074587	0.9999439	0.5740133	0.0979904	0.0003010	0.4634874	0.3054165	0.4896682	0.9995516
850	0.3168421	0.1532797	0.1817508	0.9710691	0.6133897	0.9999843	0.5735928	0.0991525	0.0002935	0.4619267	0.3190703	0.4997841	0.9995035
900	0.3184560	0.1532195	0.1816846	0.9710555	0.6171741	0.9999956	0.5734023	0.0998943	0.0002949	0.4612170	0.3279483	0.5068444	0.9994686
950	0.3193360	0.1531858	0.1816553	0.9710617	0.6194508	0.9999988	0.5733171	0.1003173	0.0002989	0.4608983	0.3332964	0.5114378	0.9994459
1000	0.3197971	0.1531671	0.1816420	0.9710702	0.6207549	0.9999997	0.5732793	0.1005424	0.0003025	0.4607561	0.3363364	0.5142599	0.9994323

0	0.3202527	0.1531265	0.1816269	0.9711070	0.6222279	1.0000000	0.5732494	0.1007685	0.0003110	0.4606430	0.3396901	0.5178234	0.9994165
50	0.3294039	0.0250745	0.1829942	0.9660558	0.5901521	0.6129484	0.5909103	0.0356107	0.0003078	0.2928493	0.8540096	0.5496420	0.9994051
100	0.3451885	0.0069373	0.1901575	0.9392653	0.4984709	0.5045481	0.6535502	0.0126580	0.0005670	0.3400307	0.8640107	0.5774745	0.9993039
150	0.3553401	0.0053845	0.1999728	0.8875001	0.4082520	0.4741888	0.7296570	0.0045841	0.0015118	0.4007252	0.8573990	0.5868122	0.9991267
200	0.3613671	0.0064341	0.2084358	0.8275932	0.3475038	0.4656862	0.7857560	0.0017408	0.0031085	0.4364859	0.8545150	0.5891804	0.9989513
250	0.3648246	0.0078563	0.2141244	0.7776385	0.3138808	0.4633049	0.8173526	0.0007355	0.0048091	0.4537134	0.8534254	0.5896208	0.9988146
300	0.3665637	0.0091435	0.2173928	0.7435227	0.2972284	0.4626379	0.8329942	0.0003781	0.0061469	0.4615143	0.8530027	0.5896559	0.9987226
350	0.3672960	0.0101216	0.2190915	0.7228567	0.2894635	0.4624512	0.8402921	0.0002503	0.0070154	0.4649923	0.8528314	0.5896388	0.9986686
400	0.3675409	0.0107762	0.2199201	0.7112271	0.2859303	0.4623989	0.8436018	0.0002043	0.0075150	0.4665387	0.8527580	0.5896247	0.9986411
450	0.3675910	0.0111748	0.2203085	0.7049831	0.2843203	0.4623842	0.8450807	0.0001876	0.0077809	0.4672257	0.8527242	0.5896149	0.9986291
500	0.3675801	0.0114017	0.2204861	0.7017338	0.2835740	0.4623801	0.8457361	0.0001815	0.0079153	0.4675304	0.8527076	0.5896073	0.9986248
550	0.3298802	0.3619298	0.2144516	0.7481545	0.3337627	0.8494305	0.7913737	0.0442965	0.0053979	0.7844834	0.1416728	0.5680642	0.9987062
600	0.2618754	0.3103463	0.2152297	0.8402294	0.4336663	0.9578305	0.6829851	0.0514595	0.0023816	0.7039125	0.1482496	0.4873308	0.9992731
650	0.2369454	0.2349295	0.2111739	0.9040366	0.4848050	0.9881897	0.6200622	0.0574114	0.0010201	0.5926579	0.1482749	0.4230994	0.9997225
