"Time"	G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15
550	0.8514190	0.4375776	0.0461754	0.6038340	0.0466982	0.4621040	0.0017449	0.4835491	0.1112137	0.0877108	0.1695950	0.1190072	0.0122475	0.6854755	0.3070039	0.2375417
600	0.6563220	0.5224706	0.0454329	0.5657827	0.0919897	0.4409747	0.0004582	0.5871318	0.2528186	0.2515462	0.2110463	0.1043632	0.0210006	0.5745731	0.3344706	0.2920916
650	0.6373856	0.4813411	0.0652508	0.5393851	0.2235015	0.4706218	0.0009552	0.6637374	0.3658709	0.4049317	0.1761697	0.1105294	0.0759722	0.4279925	0.2534907	0.3571963
700	0.7022225	0.4591184	0.0682519	0.5629167	0.2478808	0.4742598	0.0014681	0.5805663	0.3019968	0.4593863	0.2181297	0.2036288	0.0572249	0.4666208	0.1611856	0.4984942
750	0.7806148	0.5932942	0.0673513	0.4159599	0.2130294	0.3658905	0.0039506	0.6469875	0.4384866	0.3901093	0.1951976	0.2215870	0.1097614	0.2968314	0.0926523	0.5831208
800	0.6726096	0.4958035	0.0520599	0.4909586	0.4298751	0.4832780	0.0012659	0.6192592	0.4520680	0.3908471	0.2058613	0.1929893	0.1414856	0.3044796	0.1117203	0.5541877
850	0.7670510	0.4170266	0.0743401	0.3433907	0.3973468	0.4742411	0.0020877	0.6438895	0.3776513	0.4996851	0.1458722	0.3019552	0.1975356	0.4592273	0.0530234	0.5825137
900	0.7647897	0.4541869	0.0617063	0.4259120	0.3491165	0.5044456	0.0037827	0.5840331	0.3854010	0.4957144	0.2774976	0.2108087	0.1684003	0.4058228	0.0296621	0.6131615
950	0.8295282	0.4342443	0.0541885	0.3573596	0.3682722	0.5285106	0.0053785	0.8050277	0.2975765	0.4182950	0.2395655	0.2889271	0.1569008	0.5230320	0.0136096	0.4849709
1000	0.7592834	0.5628481	0.0678305	0.2863955	0.3858640	0.5739636	0.0111209	0.6973030	0.3247949	0.4554173	0.1568683	0.2738489	0.2221028	0.4748144	0.0276974	0.5608406

0	0.8443683	0.4887266	0.0677373	0.6216349	0.4350990	0.5368780	0.0085093	0.5379848	0.2977004	0.4791395	0.2545662	0.2458668	0.2071300	0.5085611	0.0157111	0.4878323
50	0.7786789	0.4682670	0.0510703	0.5719019	0.3096665	0.4544459	0.0086230	0.6361389	0.2735626	0.5895953	0.2595755	0.2542054	0.2366515	0.6670920	0.0334903	0.7102941
100	0.7475084	0.4576600	0.0151887	0.5987851	0.2900111	0.5150314	0.0037408	0.6007059	0.3342021	0.7111657	0.2303054	0.3241587	0.2456853	0.4494090	0.0158384	0.6231861
150	0.7517536	0.5484046	0.0160727	0.4280710	0.4056131	0.5619261	0.0012887	0.5190672	0.3179136	0.8199921	0.2878174	0.1697140	0.1854419	0.5687217	0.0126561	0.6146657
200	0.7233501	0.4322955	0.0197722	0.4409514	0.4622804	0.5584801	0.0024274	0.4413234	0.3052053	0.9778059	0.2821853	0.2195698	0.2234676	0.6303160	0.0006097	0.4530424
250	0.7295840	0.4561350	0.0131599	0.4497403	0.4248564	0.5137273	0.0130159	0.4765525	0.3126928	0.7857482	0.1883629	0.2475096	0.1853417	0.7490955	0.0002607	0.4489885
300	0.7664369	0.4949103	0.0140502	0.5171922	0.5151776	0.6494154	0.0022338	0.4627824	0.2865483	0.7114022	0.1182016	0.2220869	0.2320402	0.5757344	0.0003934	0.5681589
350	0.6841135	0.4359985	0.0083213	0.3830934	0.3973146	0.5989539	0.0060183	0.4435580	0.3631680	0.6477726	0.2002502	0.2326756	0.1503215	0.6266978	0.0010257	0.5100846
400	0.6977889	0.4641560	0.0084718	0.5741480	0.3105008	0.5797901	0.0007023	0.4424405	0.4015614	0.7010124	0.2402520	0.2298604	0.1716410	0.6604829	0.0044087	0.6293264
450	0.6933132	0.5064106	0.0279124	0.5494750	0.2962703	0.5255312	0.0057994	0.4695153	0.3338019	0.7681569	0.2346368	0.3193827	0.1943704	0.6228594	0.0003244	0.4286921
500	0.6515870	0.4321702	0.0183678	0.5392722	0.3454746	0.4331233	0.0069844	0.5746235	0.3504107	0.6892366	0.1495887	0.2716891	0.1799894	0.7277901	0.0000148	0.4896615
550	0.6522956	0.3453066	0.0175286	0.4199859	0.3554664	0.4782329	0.0000000	0.5894624	0.3889298	0.5514239	0.2209664	0.2306037	0.2272416	0.6131849	0.0166536	0.4690654
600	0.8389341	0.5843402	0.0238158	0.4791895	0.2682302	0.4356965	0.0028372	0.6014299	0.2775162	0.5520205	0.2696631	0.2794017	0.2457118	0.6076331	0.0162881	0.6263546
650	0.8201673	0.4996177	0.0431720	0.4540732	0.3992764	0.4605425	0.0033207	0.7833977	0.3182286	0.4759858	0.1823641	0.2977868	0.2215148	0.6297391	0.0267867	0.6195789
700	0.7035437	0.5122899	0.0228616	0.3681188	0.3799270	0.4911896	0.0153793	0.7275525	0.2928322	0.5179031	0.2067146	0.2750459	0.2086786	0.5984283	0.0241167	0.6055802
750	0.8241185	0.4586154	0.0165241	0.4191887	0.4310608	0.4880997	0.0103836	0.6688164	0.3563895	0.5213329	0.2271664	0.1747582	0.2114732	0.5831413	0.0209131	0.5118467
800	0.9687111	0.3908216	0.0460470	0.4470855	0.3602503	0.5381051	0.0205821	0.6011110	0.3649646	0.4607540	0.1752481	0.2022102	0.2566568	0.6158555	0.0160123	0.5163225
850	0.7456698	0.6304360	0.0427489	0.4496886	0.4530876	0.5118017	0.0147045	0.5917848	0.4294487	0.3612037	0.1420447	0.2307143	0.1511743	0.5759668	0.0165640	0.7160369
900	0.6659527	0.4167823	0.0676303	0.4867243	0.3712949	0.4553940	0.0071171	0.5965444	0.2743499	0.4541250	0.1234215	0.2378510	0.1455351	0.6344718	0.0161324	0.6198890
950	0.8325514	0.4243697	0.0709574	0.4603710	0.2680875	0.4905752	0.0055736	0.5746342	0.4068660	0.4051913	0.1447769	0.1736733	0.2526779	0.6357169	0.0091050	0.6809370
1000	0.6832812	0.3982859	0.0267383	0.4666452	0.3423825	0.5010292	0.0039664	0.5484712	0.3800271	0.4049869	0.1540651	0.2412926	0.2497739	0.5735259	0.0294900	0.7172990

0	0.8103705	0.5858686	0.0434483	0.4692941	0.3829810	0.4697470	0.0064410	0.6378888	0.4238768	0.5282474	0.2377328	0.2500328	0.1883020	0.5843405	0.0224998	0.4965150
50	0.8062596	0.4335636	0.0499139	0.4950489	0.5032107	0.6509173	0.0231757	0.4611786	0.3699444	0.4396724	0.2594857	0.2464046	0.0978385	0.5989265	0.0282808	0.5578696
100	0.7566367	0.4318320	0.0678070	0.3677164	0.3159782	0.5583988	0.0336825	0.4509580	0.3851434	0.4136209	0.2184879	0.2171002	0.0481845	0.6109272	0.0369253	0.4841290
150	0.8985772	0.5004496	0.0818854	0.4961162	0.2664505	0.4722217	0.0223838	0.4435835	0.4480638	0.3803059	0.1893453	0.3150996	0.0182201	0.5096008	0.0588067	0.4621960
200	0.7484465	0.5255617	0.0378897	0.4224496	0.3943402	0.5600118	0.0004612	0.4716289	0.3678135	0.4578252	0.1635404	0.3502065	0.0102088	0.5336086	0.1990660	0.3573258
250	0.8327479	0.4260261	0.0754795	0.5473536	0.3349946	0.5207351	0.0033808	0.5914666	0.3676212	0.3914271	0.2268117	0.3203753	0.0085379	0.4866036	0.2404045	0.3253834
300	0.8183436	0.5288960	0.0656364	0.4789905	0.4052350	0.5845370	0.0086368	0.5080785	0.3402272	0.4392160	0.1430207	0.3076104	0.0113639	0.3210825	0.2776243	0.4045969
350	0.8533619	0.4496948	0.0252283	0.6136895	0.4981700	0.4896608	0.0084947	0.4461087	0.3275819	0.4903460	0.2349029	0.3433059	0.0025200	0.3675492	0.4490125	0.2444770
400	0.9777247	0.5077212	0.0122892	0.4488212	0.2727334	0.5592054	0.0184552	0.5281470	0.3536364	0.4486596	0.2002596	0.2541119	0.0017098	0.3005626	0.4465103	0.3390781
450	0.8499921	0.6813723	0.0405434	0.4739055	0.3860908	0.4979983	0.0086612	0.6457682	0.3775820	0.4050954	0.1902340	0.3058581	0.0155420	0.2391109	0.3534801	0.3858195
500	0.7613753	0.5468001	0.0502881	0.4415888	0.4252891	0.5169028	0.0059562	0.4765256	0.2712692	0.4354488	0.2154917	0.3728616	0.0005015	0.3024357	0.3649295	0.2735303
550	0.7922677	0.5885564	0.0349631	0.4103978	0.3426159	0.5512134	0.0175037	0.6114932	0.3064729	0.3823931	0.2197457	0.4059872	0.1116574	0.2542320	0.3098099	0.3031597
600	0.7551783	0.3992668	0.0616932	0.4885115	0.3113857	0.5204488	0.0028005	0.5097104	0.3456380	0.4234156	0.1769359	0.3065799	0.1494103	0.2631664	0.2424366	0.6210204
650	0.8010745	0.5119657	0.0432077	0.5220447	0.4147158	0.5264079	0.0037318	0.6005218	0.3982150	0.4985828	0.1484627	0.2090035	0.2614651	0.4192013	0.0910039	0.5855070
700	0.6846145	0.5338390	0.0559280	0.5215217	0.3691691	0.6162755	0.0145444	0.4963610	0.4222425	0.5669536	0.1878472	0.2246856	0.1442417	0.5174252	0.0940050	0.7725618
750	0.7742776	0.4868271	0.0381987	0.4597400	0.3320017	0.5778124	0.0088525	0.5740376	0.2972368	0.5120911	0.2100938	0.2386185	0.1803944	0.5759609	0.0779521	0.8809562
800	0.9406983	0.4201303	0.0848656	0.3902363	0.3115857	0.6218358	0.0241521	0.4769441	0.3141157	0.4101007	0.2223070	0.1840512	0.1714669	0.5876037	0.0167484	0.6140691
850	0.7581974	0.6463201	0.0590004	0.4369411	0.3286918	0.5154160	0.0076855	0.5256770	0.2576164	0.6758699	0.1577506	0.1935645	0.1749527	0.5782375	0.0111369	0.6440305
900	1.0666140	0.5159608	0.0772869	0.5232965	0.4155763	0.5445407	0.0041873	0.6526572	0.3072023	0.4869837	0.1636005	0.2300545	0.2056599	0.6979710	0.0288221	0.5794005
950	0.8624686	0.4416289	0.0967653	0.3887096	0.3980566	0.5565945	0.0071022	0.5843218	0.2987162	0.4520706	0.1819872	0.2402848	0.1933908	0.6737963	0.0182368	0.5886181
1000	0.7845255	0.4783718	0.0623957	0.4162722	0.3592323	0.5424501	0.0224715	0.5952252	0.3692407	0.4831407	0.1957754	0.1313632	0.2042688	0.6382174	0.0190849	0.5349238

0	0.7996641	0.5512729	0.0642113	0.5373641	0.3400600	0.4874871	0.0080912	0.5481672	0.3315969	0.6188796	0.2719685	0.1802716	0.2098708	0.5814270	0.0219747	0.5515619
50	0.9839168	0.5584507	0.0536260	0.3635399	0.4416543	0.5859893	0.0029643	0.5188181	0.2681285	0.5161164	0.2172859	0.2642492	0.2330734	0.6131612	0.0175910	0.6340557
100	0.8822870	0.6443514	0.0392565	0.2395442	0.3697248	0.5113744	0.0056935	0.6350866	0.0966660	0.4542621	0.2075750	0.2059556	0.1687498	0.5983579	0.0099893	0.4852194
150	0.8957243	0.6303338	0.0723942	0.2838762	0.2162924	0.6180181	0.0035661	0.6249928	0.0890191	0.4925141	0.2857318	0.1761541	0.2110902	0.6112326	0.0034693	0.6262985
200	0.7256288	0.7431368	0.0763338	0.1968812	0.1747374	0.4602876	0.0025293	0.5733547	0.0466168	0.5005425	0.2412668	0.1478958	0.1435714	0.5313020	0.0059445	0.6115795
250	0.6020844	0.8931728	0.0780888	0.2046922	0.0956146	0.5593898	0.0000652	0.4827041	0.0837953	0.3757170	0.2085998	0.0914527	0.1945023	0.5233723	0.0013082	0.6891858
300	0.6328764	0.6124160	0.0725593	0.1744522	0.1235606	0.5932932	0.0001661	0.5502993	0.0801532	0.3605979	0.2174328	0.1275986	0.1052732	0.6507552	0.0062353	0.5674068
350	0.8407520	0.8367384	0.1561632	0.2356159	0.1379444	0.5772794	0.0003432	0.6962996	0.0441274	0.3754425	0.2231552	0.1282896	0.0795991	0.4998838	0.0003718	0.4741960
400	0.7351406	0.8106986	0.1832780	0.1485987	0.0797835	0.5247669	0.0001134	0.6354639	0.0345675	0.3636067	0.2138158	0.1145097	0.1179650	0.6735323	0.0021117	0.4439713
450	0.8493512	0.7574637	0.1043990	0.2449967	0.0968002	0.5633466	0.0015446	0.5873375	0.0585376	0.3583892	0.2172256	0.1211433	0.0717338	0.6186667	0.0065026	0.4978549
500	0.6669433	0.7596667	0.1163757	0.2041813	0.1550524	0.5778588	0.0061176	0.5238609	0.0213528	0.3190207	0.2669182	0.1195991	0.0590782	0.7171774	0.0101993	0.5591443
550	0.8014670	0.7970394	0.0864614	0.2286148	0.1504430	0.5180600	0.0005885	0.6086571	0.1169637	0.3807001	0.1463614	0.1543592	0.0670317	0.6128189	0.0266872	0.4723222
600	0.7891877	0.6254574	0.0643215	0.3081515	0.1762234	0.5003036	0.0010320	0.6841741	0.2015960	0.2606915	0.2114235	0.1532351	0.0783325	0.7907628	0.0349485	0.4054079
650	0.8918658	0.6133107	0.0635115	0.3286198	0.2306177	0.4820558	0.0003201	0.5804345	0.3837131	0.4159638	0.2028494	0.1537072	0.0900663	0.6478129	0.0616743	0.5104925
700	0.8134399	0.5044831	0.0709858	0.3886544	0.3277193	0.5125956	0.0013895	0.6322431	0.3430288	0.6168023	0.2591343	0.1791398	0.1168795	0.8004352	0.0865548	0.4603452
750	0.8115168	0.5218926	0.0575462	0.4346017	0.3744128	0.4844750	0.0000000	0.6802665	0.3685500	0.4095474	0.1505470	0.1496497	0.1425613	0.7108992	0.0858223	0.4946135
800	0.7407113	0.4837750	0.0962912	0.4142721	0.4049261	0.5828204	0.0211344	0.5866443	0.3034138	0.3674623	0.2103141	0.2605774	0.1639489	0.5977053	0.0384843	0.5179110
850	0.8986305	0.4390333	0.0672986	0.5079244	0.3560753	0.5429595	0.0002734	0.6142601	0.2919692	0.4385835	0.2711590	0.1871147	0.2096422	0.6070737	0.0203640	0.5350387
900	1.0347242	0.4308314	0.0852260	0.5689308	0.3527009	0.6846357	0.0001211	0.5753431	0.2787190	0.4838724	0.2100687	0.1910869	0.1954749	0.5966101	0.0243689	0.4973926
950	0.9851725	0.4967600	0.0543877	0.4705064	0.3891833	0.4201274	0.0083035	0.5530441	0.3423379	0.4762506	0.1961649	0.2819824	0.2127276	0.5990038	0.0324063	0.5584393
1000	0.6880000	0.5563853	0.0317294	0.4735238	0.3593488	0.5164599	0.0018418	0.4972297	0.4161365	0.5123959	0.1773140	0.2279721	0.1940643	0.6338235	0.0708308	0.6468061

0	0.9081783	0.5936903	0.0557872	0.4920200	0.4709241	0.5330557	0.0095312	0.6184862	0.3729425	0.5918451	0.1990616	0.2719914	0.2361566	0.6779950	0.0527419	0.5760608
50	0.6256234	0.4385468	0.0182375	0.4210685	0.5025424	0.8033863	0.0209932	0.5775719	0.4175730	0.5686140	0.1841403	0.3536061	0.2602116	0.5005903	0.0337655	0.6183745
100	0.4199081	0.4162321	0.0315763	0.3200860	0.5631456	0.6807502	0.0097047	0.6908533	0.4583107	0.4489714	0.1453662	0.3362497	0.2699635	0.6154085	0.0181605	0.5199347
150	0.3244406	0.3415365	0.0579299	0.4493588	0.3435918	0.6423734	0.0145523	0.5108364	0.4751633	0.4744683	0.1620638	0.4435334	0.3538444	0.7167536	0.0465108	0.5594729
200	0.3022150	0.2449759	0.0681294	0.3773409	0.4445211	0.7178782	0.0064018	0.4969997	0.5077468	0.5427686	0.2068111	0.4436628	0.3882175	0.7604687	0.0377844	0.6862156
250	0.2652646	0.1679733	0.1453836	0.3393175	0.3807130	0.6884316	0.0081881	0.4149427	0.4709117	0.3993928	0.1954555	0.5845134	0.3503625	0.6457480	0.0227503	0.5519798
300	0.3953093	0.2462268	0.1730626	0.4500351	0.3617891	0.6718040	0.0044960	0.2860782	0.5031723	0.4499939	0.2487511	0.5209086	0.4285190	0.6703814	0.0277783	0.6038663
350	0.3846730	0.1708506	0.1850099	0.4086245	0.4851700	0.7453648	0.0025315	0.3096468	0.5249149	0.4515930	0.2357129	0.4820510	0.3324463	0.6492545	0.0280346	0.6162581
400	0.3371773	0.2070270	0.1901683	0.4742514	0.4872895	0.6776461	0.0029999	0.3047345	0.6508951	0.3816918	0.1614577	0.5266400	0.3989727	0.6588790	0.0580510	0.5529403
450	0.3767969	0.2083613	0.2459405	0.4017288	0.3754626	0.6446800	0.0083494	0.3303390	0.5823252	0.3394068	0.1859093	0.4728887	0.4520055	0.5850103	0.0294160	0.6874976
500	0.3037822	0.1722067	0.1282569	0.4302318	0.3533461	0.7620635	0.0045875	0.2853122	0.6018938	0.4907803	0.2106637	0.7307385	0.3398622	0.7175008	0.0459197	0.4853429
550	0.4390804	0.0946203	0.1609838	0.3895723	0.3096478	0.6729852	0.0026451	0.4557828	0.4851268	0.4468890	0.2148494	0.6607030	0.2922333	0.8373444	0.0141589	0.4558525
600	0.5627041	0.2161688	0.1540931	0.4308923	0.3155809	0.6232760	0.0006235	0.4540055	0.6425477	0.5595734	0.3149865	0.4764868	0.2967142	0.7169314	0.0135889	0.5093400
650	0.7055127	0.3547877	0.1396316	0.5940480	0.3141363	0.6751191	0.0064575	0.4534558	0.4781247	0.5133987	0.2828750	0.4048884	0.2944091	0.6797628	0.0605768	0.6482760
700	0.7722527	0.3107620	0.0655172	0.4747641	0.3149403	0.4254684	0.0032019	0.4403207	0.4384782	0.3289945	0.2546414	0.3362051	0.2217070	0.4994895	0.0084743	0.5708556
750	0.6434342	0.3580635	0.0640547	0.5060297	0.3957188	0.5909883	0.0009376	0.5604572	0.3972917	0.4817487	0.1955481	0.4015843	0.2507006	0.6654724	0.0174485	0.6542114
800	0.7784216	0.3986443	0.0270449	0.5108489	0.3850448	0.4623088	0.0020028	0.5662482	0.4207905	0.4532821	0.2091760	0.3049022	0.2037965	0.6322778	0.0113236	0.6381426
850	0.7097723	0.3884035	0.0295299	0.4838145	0.4571148	0.4906721	0.0192789	0.5230496	0.4616123	0.4988610	0.2556661	0.3268881	0.2848559	0.7511644	0.0249702	0.7037619
900	0.8038382	0.4690189	0.0184144	0.5163625	0.4041132	0.5454109	0.0385078	0.5867576	0.3615815	0.4053644	0.2913264	0.2393198	0.1882607	0.5215092	0.0140069	0.5921463
950	0.8740081	0.5580611	0.0489819	0.4983545	0.4555725	0.5544204	0.0251687	0.5342609	0.3239368	0.4892779	0.2406201	0.3506365	0.1891255	0.5623437	0.0217302	0.4736531
1000	0.8030833	0.5210990	0.0272524	0.3887307	0.4176882	0.5873858	0.0328190	0.3445320	0.3555521	0.3553656	0.1874841	0.1606912	0.2127524	0.5739807	0.0263666	0.4252298

0	0.9688452	0.5120523	0.0435793	0.5488474	0.4467886	0.5191909	0.0049650	0.5730175	0.4265877	0.4677503	0.2817222	0.2914847	0.2685560	0.5514256	0.0217586	0.5854662
50	0.8561337	0.5574847	0.0504867	0.4021969	0.4306513	0.4871027	0.0127651	0.7610918	0.3760595	0.4955455	0.1343747	0.1734019	0.2020832	0.6378278	0.0132755	0.4748168
100	0.6275754	0.4130765	0.0311325	0.3875979	0.4717820	0.5807975	0.0157080	0.6693971	0.3186376	0.6342265	0.1205518	0.3344652	0.2054423	0.4619596	0.0031447	0.3462564
150	0.7147333	0.3250107	0.0476813	0.4655665	0.4100750	0.5595195	0.0043132	0.7287338	0.4054020	0.7245543	0.0744022	0.2127818	0.3044561	0.6311915	0.0000732	0.3391104
200	0.7563328	0.3816241	0.0493813	0.4103255	0.3572621	0.4902324	0.0064567	0.7058680	0.3907427	0.6881673	0.0745887	0.2575212	0.2150106	0.6172109	0.0075625	0.3721892
250	0.5989259	0.4613023	0.0655781	0.4370625	0.3704832	0.5585447	0.0144987	0.6286408	0.4837147	0.5674695	0.0534467	0.2368493	0.1583347	0.5650700	0.0038952	0.3519789
300	0.5295503	0.3720255	0.0233855	0.4306603	0.4758803	0.5653523	0.0195312	0.6934796	0.4051723	0.6262077	0.0834175	0.3247281	0.2334419	0.6437629	0.0016400	0.3136449
350	0.5937580	0.4552295	0.0965001	0.4601085	0.4564146	0.6589708	0.0338491	0.6066910	0.4800937	0.6186404	0.0982521	0.2965174	0.1733069	0.6759408	0.0012828	0.3017172
400	0.6887062	0.4075154	0.0693841	0.4996977	0.4805612	0.4601059	0.0188958	0.6501252	0.3881570	0.5241500	0.0669380	0.3843748	0.2719420	0.6823552	0.0019322	0.4059445
450	0.7486070	0.4434660	0.0699555	0.4773503	0.5176187	0.6668219	0.0121818	0.7045694	0.4360158	0.6983822	0.0893464	0.3797601	0.1871902	0.4545727	0.0034483	0.3519744
500	0.6801136	0.4730890	0.0485151	0.5620988	0.6028967	0.5831380	0.0219034	0.6593355	0.3821545	0.6792223	0.0800321	0.2945783	0.2202702	0.4753334	0.0000576	0.2287540
550	0.6759561	0.5039874	0.0623137	0.4117630	0.4903141	0.5477901	0.0239621	0.5620695	0.3342225	0.5592190	0.2105427	0.2100125	0.2077280	0.5314894	0.0663033	0.3753200
600	0.6815063	0.4098909	0.0312302	0.4496855	0.4684550	0.5345735	0.0205860	0.5765935	0.3679004	0.3882123	0.1859453	0.2960646	0.2699156	0.6150938	0.0408624	0.5361918
650	0.8039730	0.5146247	0.0434501	0.4497352	0.3908310	0.5286096	0.0233962	0.6091496	0.3868744	0.4576222	0.2486619	0.2128289	0.2054703	0.7112413	0.0088317	0.5680550
700	0.8991473	0.4222460	0.0482524	0.5142251	0.3089682	0.6245356	0.0072114	0.6299537	0.4407576	0.5335917	0.2394215	0.2223503	0.1406906	0.5503951	0.0317681	0.6602692
