"Time"	G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15
550	1.0266156	0.5943464	0.0650919	0.6481194	0.0720481	0.6769495	0.0000088	0.8091698	0.4021304	0.3279352	0.2821874	0.1391725	0.0565303	0.6139958	0.4770403	0.3273408
600	0.9576098	0.5876366	0.0831172	0.6641408	0.2316725	0.6557582	0.0000000	0.8176260	0.5255555	0.5598971	0.2906961	0.1744047	0.0515166	0.3918281	0.4775066	0.4394023
650	0.9332210	0.6128787	0.0961727	0.6594409	0.3932250	0.6181884	0.0008384	0.8285983	0.4687529	0.6198246	0.3063484	0.1916779	0.1792054	0.3878793	0.3025615	0.6115405
700	0.9226814	0.6525646	0.0873252	0.5830039	0.4102670	0.5210391	0.0011886	0.8620485	0.4791736	0.5510442	0.3066512	0.3072344	0.1731443	0.4093367	0.1591413	0.6839631
750	1.0344787	0.6344383	0.0648370	0.5734303	0.4162811	0.5883186	0.0066256	0.8309550	0.4868189	0.5973901	0.2421822	0.2465363	0.2157498	0.4670924	0.0765823	0.7215802
800	0.9658386	0.6188054	0.0637589	0.5877615	0.4750628	0.6936454	0.0079978	0.9165751	0.4771416	0.5543296	0.2095694	0.2993721	0.2347208	0.5994638	0.0511759	0.7934728
850	0.9597903	0.6481038	0.0591687	0.5674638	0.5251485	0.6363057	0.0049539	0.7796766	0.4737110	0.5801303	0.2618832	0.2822120	0.2559152	0.7179355	0.0386340	0.7292177
900	0.9695493	0.6490574	0.0721890	0.5682850	0.5074640	0.6639695	0.0072869	0.7161550	0.5193954	0.5879513	0.2838804	0.3218992	0.3071961	0.6901963	0.0442616	0.7249667
950	0.9822990	0.6042505	0.0920105	0.5937593	0.5327398	0.6835743	0.0089214	0.7345639	0.5165910	0.5672379	0.2586191	0.3455088	0.2694747	0.7378555	0.0446860	0.6672148
1000	1.0065233	0.5986633	0.0878214	0.5972371	0.4693447	0.6786962	0.0117721	0.7288658	0.4710293	0.5518445	0.2903087	0.2698196	0.3361308	0.7367925	0.0417185	0.7139789

0	1.0292582	0.6365749	0.0473712	0.6517803	0.5555690	0.7394196	0.0061377	0.6655635	0.5274779	0.7307343	0.2671613	0.3444116	0.3001965	0.7594602	0.0336901	0.7279898
