"Time"	G4	G3	G2	G1	G12	G0	G11	G10	G9	G8	G7	G6	G5
900	0.1588918	0.1281347	0.0957876	0.8404373	0.3010946	0.7688317	0.3702493	0.0433405	0.0021928	0.2862056	0.1548447	0.2908609	0.6419836
950	0.1283302	0.0909099	0.1107650	0.6140915	0.3259766	0.6285909	0.3192735	0.0416175	0.0046181	0.3918918	0.3096848	0.3627689	0.6764298
1000	0.1566316	0.0844949	0.0771345	0.5641140	0.3185000	0.6338728	0.4407442	0.0579903	0.0016677	0.3363559	0.1975828	0.3004862	0.6336977

0	0.2452886	0.0760385	0.1068575	0.6563821	0.4217782	0.6073989	0.4229658	0.0458716	0.0006804	0.2943800	0.3307311	0.3845548	0.5484251
50	0.1822014	0.1515142	0.0800279	0.6526197	0.4466233	0.5663541	0.4167177	0.0809978	0.0031547	0.2221178	0.1544018	0.2849695	0.3011125
100	0.2114160	0.1036797	0.1006525	0.6690750	0.3406220	0.3998294	0.4220536	0.0975362	0.0022464	0.4332083	0.0576664	0.1843295	0.1847597
150	0.1881143	0.2247720	0.1356334	0.6295793	0.2436966	0.3715366	0.4565404	0.0914567	0.0058269	0.4122088	0.0585851	0.1897447	0.0744734
200	0.1715144	0.1229790	0.1507906	0.5827102	0.2003905	0.3276487	0.4874949	0.0616570	0.0055066	0.5604187	0.0622842	0.1886764	0.0792155
250	0.1055642	0.2190847	0.1842178	0.5720862	0.1734288	0.3064048	0.6039365	0.0390020	0.0011564	0.5164549	0.0343285	0.1272257	0.0717593
300	0.0775202	0.2419069	0.1181100	0.5428272	0.2246324	0.3290100	0.4399229	0.0772698	0.0036715	0.5715650	0.0392479	0.1270996	0.0451897
350	0.1114816	0.2493644	0.1603921	0.4137264	0.1597164	0.3540012	0.5746109	0.0118823	0.0059741	0.5219062	0.0409190	0.1644698	0.0846888
400	0.1150398	0.3201994	0.1815791	0.4313262	0.0889964	0.3113366	0.4662028	0.0138390	0.0024060	0.6892984	0.0527580	0.1562021	0.0687394
450	0.1161462	0.2433362	0.2820945	0.4308759	0.1166029	0.3014142	0.5851071	0.0154680	0.0081952	0.5809363	0.0354405	0.1753251	0.0816498
500	0.1098577	0.2665881	0.2086748	0.5121578	0.0897878	0.3219794	0.5170473	0.0365234	0.0053688	0.5309779	0.0483653	0.1830451	0.0586926
550	0.0853722	0.2779394	0.2059916	0.5387660	0.1231800	0.4149292	0.5961928	0.0189205	0.0020990	0.5928965	0.0708138	0.2170700	0.3305465
600	0.0884127	0.2208412	0.1190258	0.5676598	0.1398076	0.4727837	0.5231996	0.0105906	0.0004197	0.5835642	0.0534781	0.1269255	0.5601815
650	0.0923087	0.1914084	0.2092369	0.5846354	0.1802122	0.6121387	0.4436847	0.0352838	0.0003420	0.5262954	0.0331888	0.1969746	0.7461999
700	0.1308474	0.1239654	0.1399151	0.7515019	0.2928459	0.6025789	0.4305952	0.0491577	0.0068072	0.3635032	0.0441265	0.1215373	0.6342195
750	0.2159986	0.1293441	0.1528515	0.6779695	0.3031082	0.5978698	0.3862202	0.0318014	0.0001770	0.3409266	0.0760999	0.1271386	0.6001243
800	0.1396690	0.1007859	0.1231441	0.5546559	0.2571886	0.6970891	0.3615126	0.0440734	0.0002670	0.3272757	0.1224076	0.1700429	0.5226825
850	0.2096269	0.0955202	0.1592435	0.5616372	0.3983148	0.6702794	0.3598311	0.0629715	0.0016756	0.2824562	0.0741834	0.1628864	0.6728042
900	0.1761210	0.0886687	0.1777402	0.5254907	0.3767979	0.6852957	0.2999814	0.0825621	0.0020094	0.1985235	0.2599672	0.2614477	0.7191704
950	0.2123722	0.1687255	0.1372908	0.5425141	0.3337277	0.5328185	0.2991473	0.0831357	0.0051319	0.2442133	0.2696212	0.2530698	0.5731667
1000	0.1730504	0.1270316	0.0893819	0.4791956	0.3004126	0.6145992	0.4972448	0.0617218	0.0076336	0.3134266	0.1647098	0.4360978	0.6791223

0	0.2357975	0.0734572	0.1430267	0.5776778	0.5510309	0.6101623	0.3439087	0.0575675	0.0006124	0.3278758	0.2996163	0.3707741	0.6281327
50	0.1814440	0.1223711	0.0804690	0.5562139	0.5174127	0.5157671	0.2478411	0.0290977	0.0893075	0.3142536	0.2314317	0.3429752	0.7016958
100	0.2443773	0.1677016	0.0959333	0.6499431	0.3473802	0.2939151	0.2312079	0.0182680	0.1557362	0.4143788	0.0899618	0.2764789	0.6901133
150	0.2966834	0.2153655	0.1513855	0.5518025	0.2320780	0.1771826	0.3384512	0.0035469	0.1967987	0.4717775	0.0376191	0.1995112	0.5805954
200	0.2499257	0.4366246	0.2729695	0.2749474	0.1159439	0.0868795	0.2789903	0.0042687	0.3161664	0.5861671	0.0153394	0.1230437	0.6270306
250	0.4491030	0.6329415	0.2856359	0.1689193	0.1312017	0.0396174	0.3708540	0.0042567	0.3421291	0.6405224	0.0696535	0.1368340	0.6156306
300	0.3666721	0.5443457	0.4920564	0.0567629	0.0497671	0.0526438	0.3072597	0.0039953	0.5082468	0.6376354	0.0858041	0.1673500	0.5920331
350	0.3555309	0.6445246	0.5328590	0.0496926	0.0770369	0.0255314	0.3827634	0.0166997	0.3255548	0.6229297	0.0412485	0.1502678	0.6616315
400	0.3340113	0.5523156	0.5909390	0.0416501	0.0356615	0.0248316	0.3234537	0.0015427	0.3674184	0.6076786	0.0171420	0.1887180	0.6524865
450	0.3497465	0.6208673	0.5439355	0.0298490	0.0268523	0.0510682	0.3367914	0.0082028	0.3918447	0.6137276	0.0410043	0.1180208	0.6082104
500	0.3352783	0.5984865	0.5224347	0.0414061	0.0164801	0.1027378	0.3683187	0.0143333	0.4719211	0.6228695	0.0307636	0.1239213	0.5445372
550	0.3661168	0.6240867	0.5573286	0.0486413	0.0731599	0.2448184	0.3349081	0.0038109	0.3000067	0.7356677	0.0499502	0.1560963	0.5567497
600	0.2561016	0.6546174	0.5322381	0.2412899	0.1086083	0.4861219	0.2462869	0.0215759	0.1128752	0.6493086	0.0737675	0.1396303	0.6524795
650	0.1534999	0.4944132	0.4943793	0.3997593	0.1972947	0.5062623	0.2427002	0.0346935	0.0529311	0.5417346	0.0581351	0.1829151	0.5895820
700	0.1233920	0.2645844	0.3377411	0.4862076	0.1972419	0.4857816	0.2749876	0.0628724	0.0024603	0.3655166	0.0492595	0.1554357	0.7161967
