"Time"	G4	G3	G14	G13	G1	G12	G0	G11	G10	G8	G7	G6	G5
900	0.0634159	0.0584573	0.0593270	0.4513574	0.0992176	0.8247420	0.7243890	0.1701814	0.4255135	0.2932344	0.2953085	0.5781966	0.1395863
950	0.0889621	0.0460859	0.1121175	0.4701198	0.0524234	0.6012799	0.7473749	0.1333257	0.4642327	0.3045238	0.3622111	0.6364973	0.1639878
1000	0.0533396	0.0389570	0.0844805	0.5062934	0.0992004	0.7199288	0.7154784	0.1490564	0.4795848	0.1540954	0.4039969	0.5691826	0.1273546

0	0.0469837	0.0220338	0.1304183	0.5072100	0.1361876	0.6811409	0.7085091	0.2075898	0.3955206	0.1971595	0.3948684	0.5485417	0.1643762
50	0.1027915	0.2144853	0.1017058	0.2108649	0.0371224	0.6181221	0.6554957	0.1640331	0.5462532	0.2232046	0.0702041	0.6005031	0.0419192
100	0.0805056	0.2072925	0.0951180	0.0607008	0.0110056	0.7986281	0.7844348	0.1843194	0.5516792	0.2021007	0.0705605	0.3949218	0.0186791
150	0.0557593	0.3131284	0.0616939	0.0554062	0.0096556	0.7396357	0.8601023	0.1851239	0.6004395	0.2229718	0.0305388	0.3767419	0.0084663
200	0.0639390	0.3111484	0.0634825	0.0120416	0.0042846	0.8513325	0.8255170	0.2247868	0.6579504	0.1767237	0.0167572	0.4332330	0.0166728
250	0.0585575	0.2815180	0.0680283	0.0075643	0.0003008	0.6197635	0.7142701	0.1555123	0.5498841	0.1854905	0.0418902	0.4140672	0.0148839
300	0.0502557	0.3076718	0.0882364	0.0010018	0.0009570	0.6888232	0.7611678	0.1675868	0.6881655	0.2361332	0.0207561	0.4825396	0.0393036
350	0.0787853	0.3441680	0.0395577	0.0012460	0.0008901	0.7742785	0.8867440	0.1949113	0.6475594	0.2276237	0.0219451	0.4016951	0.0357596
400	0.0731754	0.2659188	0.0813239	0.0003045	0.0048633	0.7169920	0.7361742	0.1804215	0.6142904	0.1945868	0.0270978	0.3736857	0.0443997
450	0.1183691	0.3287830	0.0588556	0.0000561	0.0016581	0.5665058	0.7812767	0.1964424	0.5327913	0.2751415	0.0146736	0.4752928	0.0249221
500	0.0924869	0.2814100	0.0646027	0.0006259	0.0005730	0.6321416	0.7173404	0.1215492	0.6780008	0.1841832	0.0322675	0.3552856	0.0163948
550	0.0593844	0.0871486	0.0741060	0.4411220	0.0752349	0.7177324	0.8030933	0.1433590	0.5529620	0.2472906	0.2835961	0.4517194	0.1853965
600	0.0811683	0.0781626	0.0673408	0.4507416	0.0367051	0.7129596	0.7590342	0.1020709	0.3913504	0.1710442	0.3003144	0.3977801	0.2439169
650	0.0974222	0.0503875	0.0768366	0.4614880	0.0602464	0.7164748	0.7956245	0.1437864	0.4367981	0.1590935	0.2953947	0.4409468	0.1519884
700	0.0667013	0.0308731	0.0777898	0.4759604	0.0835879	0.8253380	0.7742137	0.1541117	0.5655187	0.1862727	0.3224314	0.4833539	0.1545405
750	0.0610233	0.0552273	0.0646231	0.4625665	0.0835966	0.6826209	0.6348877	0.1766483	0.5583127	0.1410767	0.2398054	0.4806514	0.1258400
800	0.1003954	0.0473701	0.1106111	0.5058232	0.1097585	0.7381065	0.8144040	0.1652131	0.4359774	0.1478664	0.3941703	0.4461499	0.1035379
