G4	G3	G14	G13	G1	G12	G0	G11	G10	G8	G7	G6	G5
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
-0.2536930472124368	0.0	-0.8695743512362242	0.0	0.0	0.0	0.0	0.0	0.0	-0.12282321718521416	-0.7984055369161069	0.2952443335973259	0.0
0.0	0.32317829522273345	0.0	-0.9979435496497899	-0.8110577114857733	0.0	0.0	0.0	0.18946080076307606	0.0	-0.7148822192102671	0.0	-0.2669318981934339
0.0	0.0	-0.7681050288956612	-0.3026393186300993	-0.41387481964193285	0.0	-0.3571804005187005	0.0	0.0	-0.057868072763085365	-0.6788103391882032	0.0	0.0
-0.7562249421607703	0.0	0.0	0.0	0.0	0.0	0.0	-0.2532329302180042	-0.03996985728121746	0.0	0.0	0.0	-0.053238354390487075
0.0	0.0	0.0	-0.595319299492985	0.0	0.0	0.0	-0.1257194803460916	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	-0.5048371709417552	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5349610494752016	0.0
0.0	0.6272274508976082	0.0	0.0	-0.1564430189318955	0.38295390847258703	0.0	0.0	0.23383723645270418	0.0	0.0	0.0	0.0
0.0	0.5778591993168632	0.0	0.0	0.0	0.37346461223558025	-0.23319547669962049	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	-0.8188770152628422	-0.26723114331252873	0.0	0.0	0.0	0.5844862740839327	0.0	-0.10677808383479714	0.9186150397010681	0.0
0.0	0.7395715626791756	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.2813329482451081	0.0	0.0	-0.486831177957356
