"Time"	G4	G3	G2	G1	G12	G0	G11	G10	G9	G8	G7	G6	G5
650	0.2603561	0.2737678	0.2138120	0.8599886	0.4204510	0.8930675	0.6587806	0.0510198	0.0018499	0.6585624	0.1571752	0.4803396	0.9993981
700	0.2472544	0.2262909	0.2045468	0.9118721	0.4662696	0.9496694	0.6121074	0.0596327	0.0008448	0.5810553	0.1480258	0.4301326	0.9997097
750	0.2582621	0.1920592	0.1942400	0.9417592	0.4980014	0.9769664	0.5902414	0.0697189	0.0004236	0.5253657	0.1568244	0.4019767	0.9998310
800	0.2768291	0.1725106	0.1876922	0.9572203	0.5265966	0.9896299	0.5806396	0.0795804	0.0002673	0.4930804	0.1865974	0.3975483	0.9998374
850	0.2932168	0.1624221	0.1843793	0.9647117	0.5534902	0.9953771	0.5764774	0.0875326	0.0002247	0.4762245	0.2273746	0.4136032	0.9997792
900	0.3046777	0.1574843	0.1828536	0.9682017	0.5761742	0.9979517	0.5746659	0.0930712	0.0002285	0.4679272	0.2660953	0.4394703	0.9996918
950	0.3117535	0.1551423	0.1821735	0.9697920	0.5931811	0.9990959	0.5738726	0.0965372	0.0002475	0.4639874	0.2955124	0.4648224	0.9996040
1000	0.3157953	0.1540541	0.1818722	0.9705081	0.6047928	0.9996019	0.5735238	0.0985423	0.0002676	0.4621598	0.3148430	0.4846224	0.9995334

0	0.3202464	0.1531039	0.1816261	0.9711325	0.6221525	1.0000000	0.5732493	0.1007873	0.0003133	0.4606431	0.3396503	0.5176798	0.9994168
50	0.3201267	0.1558924	0.1825493	0.9618898	0.6152165	0.8574270	0.5791828	0.1006502	0.0003236	0.4753170	0.2858086	0.5166003	0.5574524
100	0.3159969	0.1741745	0.1882341	0.9396968	0.5691279	0.6842280	0.6173160	0.0976821	0.0004544	0.5588301	0.1493383	0.4948482	0.2419866
150	0.2984643	0.2099587	0.1983934	0.9003276	0.4877325	0.5772822	0.6830524	0.0879708	0.0008783	0.6765611	0.0833919	0.4273206	0.1323544
200	0.2674671	0.2572424	0.2108741	0.8485662	0.3990731	0.5217049	0.7464286	0.0743482	0.0016526	0.7720260	0.0647634	0.3408153	0.0996451
250	0.2343621	0.3088723	0.2254804	0.7994426	0.3217605	0.4949028	0.7901063	0.0618903	0.0025808	0.8311267	0.0603254	0.2744467	0.0904083
300	0.2080686	0.3569294	0.2435895	0.7647926	0.2620629	0.4824692	0.8148961	0.0528874	0.0033998	0.8629220	0.0593047	0.2359856	0.0878603
350	0.1905097	0.3942174	0.2650098	0.7479195	0.2195772	0.4768263	0.8275025	0.0472301	0.0039844	0.8788210	0.0590613	0.2168546	0.0871652
400	0.1799459	0.4170582	0.2861562	0.7456648	0.1912082	0.4742985	0.8335277	0.0439771	0.0043460	0.8865251	0.0589975	0.2081049	0.0869766
