"Time"	G4	G3	G2	G1	G12	G0	G11	G10	G9	G8	G7	G6	G5
900	0.2706394	0.1332679	0.1871233	1.0118170	0.5028077	1.0920436	0.6130448	0.0861910	0.0037171	0.4290176	0.2753512	0.4166136	1.0503192
950	0.2467492	0.1394296	0.1585424	1.0007480	0.6116592	1.0931555	0.4590463	0.0868688	0.0036851	0.4755053	0.3264955	0.5451785	1.0328357
1000	0.2378019	0.1867837	0.1078813	0.9189617	0.6058220	1.0584178	0.5406976	0.0892716	0.0027957	0.4565636	0.2868672	0.5185710	1.0924289

0	0.3733158	0.1178535	0.1619800	0.9785411	0.7252006	1.0143694	0.6307295	0.0913271	0.0011528	0.4668029	0.4866856	0.5481668	0.8698960
50	0.3177859	0.1962947	0.1725919	0.9404025	0.5972995	0.7823473	0.5346105	0.1070432	0.0071802	0.4360423	0.1764153	0.4996877	0.5435133
100	0.3440634	0.1917192	0.1927521	0.8911618	0.5382783	0.5920397	0.6928710	0.1575112	0.0014102	0.6067793	0.1356190	0.2882670	0.2705489
150	0.3336915	0.2519287	0.1975617	0.9607469	0.4180887	0.5615696	0.6783537	0.1387241	0.0044123	0.7405281	0.0724042	0.3357442	0.1245457
200	0.2699905	0.2032775	0.1876637	0.9571308	0.3463586	0.5342737	0.8260084	0.0913070	0.0092514	0.8440483	0.0676336	0.2813668	0.0916824
250	0.1832738	0.3426273	0.2159851	0.8668913	0.2810651	0.4896348	0.7903879	0.0663263	0.0012706	0.8602407	0.0567407	0.2292052	0.1044692
300	0.1644432	0.3507813	0.2579155	0.8786950	0.2330470	0.5275550	0.7077695	0.0518584	0.0042457	0.8665387	0.0659501	0.2059548	0.1007106
350	0.1293839	0.4165940	0.2660832	0.7502845	0.2359859	0.4648887	0.7149697	0.0266658	0.0228817	0.8644188	0.0904240	0.2960540	0.1349480
400	0.1479534	0.5171751	0.2690147	0.7095354	0.1604933	0.4941417	0.8420172	0.0388513	0.0058532	0.8568106	0.0723064	0.2300371	0.0843425
