"Time"	G4	G3	G14	G13	G1	G12	G0	G11	G10	G8	G7	G6	G5

0	0.1171507	0.0364029	0.1059937	0.7253899	0.1239304	0.8957608	0.9503957	0.1939996	0.5886859	0.2468802	0.5047947	0.7197759	0.2157490
50	0.0996579	0.0545563	0.1033709	0.6005251	0.1193650	0.9007208	0.9133886	0.2215326	0.6055198	0.1963132	0.4080434	0.7798714	0.2047165
100	0.0904680	0.0407727	0.1028030	0.6303655	0.1163301	0.9829322	0.9843296	0.2793115	0.6065351	0.2317188	0.4196147	0.7499301	0.1833065
150	0.1020306	0.0558567	0.1159483	0.6459766	0.1004040	0.9011097	1.0246990	0.2059148	0.6207684	0.2400657	0.3921861	0.6569523	0.1900124
200	0.1011546	0.0567230	0.1210141	0.6091204	0.1577003	0.8816082	0.9522228	0.1580961	0.6299134	0.2336945	0.4155737	0.6510156	0.2442374
250	0.1090742	0.0535794	0.1004114	0.6012959	0.1211562	0.8007679	0.9409593	0.1821345	0.5730310	0.2642423	0.4471447	0.6804211	0.2429446
300	0.0994641	0.0946054	0.0611450	0.7051662	0.1181134	0.9196945	1.0015663	0.1704844	0.5560043	0.3016723	0.4629186	0.7150742	0.2334202
350	0.0963523	0.0776727	0.0836189	0.6867438	0.1273547	0.9394662	1.0032058	0.2187102	0.7221540	0.3122266	0.4880365	0.7187056	0.2118864
400	0.0986687	0.0662151	0.1009903	0.6261530	0.1049683	0.9364180	0.9115227	0.1846642	0.7045754	0.2582917	0.4636635	0.7186365	0.2521422
450	0.1049693	0.0405081	0.1222889	0.6703360	0.1042787	0.8315909	1.0569280	0.2170269	0.6097810	0.2921337	0.4335804	0.6798060	0.2362003
500	0.1022921	0.0403913	0.0999341	0.6699686	0.1198522	0.8858512	1.0134838	0.2349177	0.6551616	0.2964140	0.4691193	0.7093865	0.2011541
550	0.0912603	0.0570398	0.1227163	0.5932605	0.0938807	0.9462722	0.9872775	0.1904156	0.7576965	0.2972176	0.4746153	0.7094638	0.1811446
600	0.1098894	0.0592051	0.1045494	0.5931237	0.1088172	0.9670287	1.0529891	0.2735867	0.7020299	0.2072638	0.4774022	0.7190367	0.1748181
650	0.0981107	0.0354467	0.1216038	0.5821151	0.0917585	1.0289746	1.0645062	0.2352564	0.6535889	0.2346297	0.4500473	0.7357041	0.1605001
700	0.0977296	0.0458078	0.0854016	0.5664729	0.0961286	0.8674506	0.9233748	0.2281896	0.6716389	0.1921868	0.4914435	0.7057735	0.1521366
750	0.1273825	0.0222485	0.1031205	0.5436286	0.1326616	0.9597585	0.9392135	0.2169544	0.5351120	0.1912609	0.4751129	0.7161903	0.1622345
800	0.1194201	0.0526030	0.0877885	0.6174793	0.1485280	1.0364111	1.0192378	0.1903555	0.5073245	0.2308183	0.4300075	0.7163017	0.1305741
850	0.0803442	0.0601479	0.0955203	0.6025290	0.1164146	0.9362609	0.9852153	0.1639711	0.5361979	0.2613773	0.4945496	0.6543942	0.1671368
900	0.0828042	0.0331341	0.0916008	0.7012782	0.1067495	0.9546498	0.9803940	0.2003249	0.4914975	0.2588679	0.4765750	0.7385927	0.1829827
950	0.0704079	0.0632030	0.0722484	0.7159223	0.1453376	0.9826816	0.9105500	0.2212849	0.5440466	0.2516196	0.5013958	0.6951761	0.2261792
1000	0.0536747	0.0450672	0.0689405	0.6421139	0.0949554	0.8848643	1.0847753	0.2326700	0.6356962	0.3338785	0.4143204	0.7351782	0.1868234

0	0.1171507	0.0364029	0.1059937	0.7253899	0.1239304	0.8957608	0.9503957	0.1939996	0.5886859	0.2468802	0.5047947	0.7197759	0.2157490
50	0.0691563	0.0565568	0.0502283	0.5405997	0.0750869	0.8574587	0.9027685	0.2310084	0.6952508	0.1782338	0.3126201	0.6325128	0.2457455
100	0.0590258	0.0427092	0.0187016	0.7101697	0.0797719	0.9015468	0.9471257	0.1672472	0.6212211	0.1866460	0.1357693	0.8103346	0.2414197
150	0.0300424	0.0430505	0.0029664	0.5465614	0.1346912	0.9330214	0.9784513	0.1645696	0.4374258	0.1757747	0.0475107	0.7561275	0.1853472
200	0.0471948	0.0585352	0.0006476	0.5352346	0.1640454	0.8714147	0.9406003	0.1678480	0.3303110	0.1201670	0.0316442	0.7757555	0.1506048
250	0.0829044	0.0579297	0.0036049	0.6346630	0.1824914	0.8545957	0.9741119	0.1511643	0.2304635	0.1259786	0.0337664	0.7884016	0.1699989
300	0.0904131	0.0744387	0.0020586	0.7193171	0.1312212	0.9761045	0.9274919	0.1308897	0.1714647	0.1391261	0.0243381	0.7788199	0.2314519
350	0.1141852	0.0582725	0.0011594	0.6691886	0.1209324	0.8505574	0.9131999	0.0881721	0.1826872	0.0873403	0.0234003	0.8681201	0.1910088
400	0.1299891	0.0324875	0.0004060	0.6462103	0.1457302	0.8416474	0.9090700	0.1068103	0.1291229	0.1175540	0.0340324	0.7893528	0.1568077
450	0.1125158	0.0314424	0.0003143	0.7189177	0.1608628	0.8250418	0.9374936	0.1118234	0.1212826	0.1437414	0.0286682	0.8074126	0.1545780
500	0.0880152	0.0518671	0.0000055	0.6852761	0.1618348	0.8206038	1.0259313	0.1451531	0.1390538	0.1517173	0.0324349	0.7739549	0.1392498
550	0.0833975	0.0721273	0.0513795	0.8041570	0.1674437	0.8475223	0.9626857	0.1722547	0.2251253	0.1835157	0.1599172	0.6765365	0.1691107
600	0.1036742	0.0327545	0.0828090	0.7414628	0.1615991	0.8942752	1.0109621	0.2106335	0.3706169	0.2247580	0.3283887	0.6366819	0.1867661
650	0.0824879	0.0578779	0.0915198	0.7331980	0.1367454	1.0187423	0.9264439	0.1779646	0.3983942	0.2445519	0.4022582	0.5531928	0.2005764
700	0.0871711	0.0829527	0.1092464	0.6756824	0.1293472	0.9406040	1.0617182	0.1883468	0.3753521	0.2040213	0.4263600	0.6436018	0.2037869
750	0.1315646	0.0626400	0.1136637	0.5830220	0.1627721	0.9654170	1.0515307	0.1665182	0.4234386	0.2073116	0.3831177	0.6320339	0.2224962
800	0.1121451	0.0630705	0.1182888	0.6425521	0.1337760	0.8334517	1.0257086	0.1610888	0.4765020	0.2637642	0.3861420	0.6295462	0.2536462
850	0.0992851	0.0368300	0.1055032	0.6394130	0.1468223	0.9720792	1.0172101	0.2002558	0.5719917	0.2598831	0.4443901	0.7229386	0.2513929
900	0.0987671	0.0296730	0.1008751	0.6683772	0.1021442	0.9207795	1.0282365	0.1938281	0.4963423	0.2497511	0.4712825	0.7459784	0.2498762
950	0.1170664	0.0355505	0.1164571	0.6573978	0.0560410	0.8951935	1.0043211	0.1746247	0.5702960	0.2346365	0.4508520	0.7044821	0.2124914
1000	0.0776962	0.0564409	0.1344856	0.6696907	0.0666586	0.9539206	1.0825067	0.1719056	0.5264004	0.2639169	0.4153031	0.7144029	0.1936556

0	0.1171507	0.0364029	0.1059937	0.7253899	0.1239304	0.8957608	0.9503957	0.1939996	0.5886859	0.2468802	0.5047947	0.7197759	0.2157490
50	0.0800024	0.1820843	0.1041370	0.4969164	0.1095322	0.9010557	0.9706278	0.2338502	0.7202422	0.2966944	0.2720086	0.7097286	0.1417002
100	0.0941743	0.2953615	0.1105984	0.2258359	0.0574542	0.8003642	0.9579351	0.2121503	0.7861074	0.2684645	0.1199810	0.6732829	0.0585097
150	0.0960599	0.3675991	0.0911763	0.0829491	0.0275566	0.8610192	1.0917564	0.2259884	0.8131056	0.2902064	0.0784716	0.6224125	0.0464358
200	0.0778713	0.3918540	0.0741226	0.0288538	0.0228063	0.8986614	1.1117979	0.2094318	0.7471568	0.2993720	0.0587269	0.6758661	0.0326427
250	0.0593957	0.4049601	0.1129813	0.0133362	0.0032349	0.9892356	1.0490415	0.2030345	0.7705868	0.2712767	0.0197125	0.5681132	0.0242943
300	0.0869667	0.3480986	0.1108722	0.0126708	0.0005737	1.0425191	1.0275751	0.2162849	0.8283704	0.2548098	0.0233940	0.4838231	0.0474435
350	0.0955970	0.4440003	0.0718381	0.0061713	0.0053615	0.9469419	1.0915099	0.2518064	0.7960092	0.3111460	0.0357562	0.4569737	0.0409306
400	0.0804714	0.4361224	0.0861841	0.0043002	0.0078105	0.8700924	1.0779731	0.1917345	0.8175069	0.2517696	0.0226069	0.5479145	0.0281656
450	0.0938512	0.3377653	0.0855774	0.0005772	0.0047880	0.8552765	1.0431840	0.2276230	0.8582051	0.2725505	0.0605680	0.5275850	0.0290628
500	0.0783651	0.3409376	0.0919983	0.0016157	0.0018314	0.8903348	1.0037444	0.1961129	0.7516218	0.2772724	0.0501375	0.5914717	0.0248941
550	0.0555851	0.2427792	0.1141894	0.2854178	0.0441033	0.9598460	0.9789431	0.1505996	0.6867198	0.2587170	0.2034790	0.5376669	0.0786256
600	0.0963699	0.1087919	0.0844061	0.4697526	0.0777705	0.9474524	1.0531958	0.1682427	0.5498669	0.2556016	0.2859840	0.6037097	0.1556036
650	0.1104421	0.0637528	0.1039855	0.5906003	0.1210708	0.9740210	1.0075260	0.1958947	0.5060063	0.2346080	0.3716067	0.5846152	0.2306059
700	0.0935111	0.0455906	0.0669452	0.5858369	0.1090328	0.9209975	1.0829056	0.1883889	0.5323399	0.2602194	0.4513003	0.6694267	0.2093525
750	0.1141793	0.0338447	0.0987452	0.6731241	0.0997044	0.9943082	1.0118141	0.2219902	0.6270808	0.2410315	0.4298253	0.6620667	0.2112097
800	0.1437252	0.0569382	0.1066227	0.6401706	0.1626929	0.9656889	1.0290918	0.1808337	0.6522564	0.2134811	0.4179963	0.6650293	0.1920373
850	0.1284087	0.0469743	0.1013898	0.5585876	0.1163653	1.0594241	0.9897624	0.1826220	0.6007207	0.2148402	0.4087816	0.6570242	0.1626346
900	0.1029284	0.0381400	0.0981944	0.5053153	0.1093992	0.9370418	1.1137861	0.2028507	0.5239746	0.1889392	0.4672879	0.6702258	0.1610360
950	0.0827267	0.0528307	0.1009642	0.6023486	0.0948430	0.8786706	1.0478650	0.1748790	0.3737496	0.2225960	0.4048467	0.6629363	0.1455696
1000	0.0839238	0.0541100	0.1075678	0.6924009	0.1300551	0.8934444	0.9867004	0.2026592	0.4971309	0.2268032	0.4497111	0.6570601	0.1928193

0	0.1171507	0.0364029	0.1059937	0.7253899	0.1239304	0.8957608	0.9503957	0.1939996	0.5886859	0.2468802	0.5047947	0.7197759	0.2157490
50	0.0720748	0.0377046	0.0373624	0.5302439	0.0869906	1.0339735	0.8770048	0.1678131	0.5146514	0.2502552	0.3016947	0.7404596	0.2305623
100	0.1053119	0.0381308	0.0142106	0.4088280	0.0693184	0.9561259	0.7748123	0.1665231	0.4140056	0.1956516	0.1283131	0.6743781	0.2130253
