"Time"	G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15
550	0.9238514	0.5918629	0.0357855	0.6815408	0.0742048	0.6168130	0.0020431	0.8063562	0.1827775	0.1024132	0.2954653	0.1346767	0.0390811	0.8549583	0.3370577	0.2925624
600	0.9357314	0.5929724	0.0432082	0.6191456	0.1141475	0.6166313	0.0006091	0.8065455	0.3521755	0.3135842	0.3195603	0.1338754	0.0384000	0.6647769	0.4701237	0.4212820
650	0.9520991	0.5905280	0.0710636	0.6331310	0.2783828	0.5790193	0.0013528	0.8282554	0.5134761	0.4962037	0.2533279	0.1773844	0.0942932	0.4936887	0.3792306	0.5239387
700	0.9340518	0.6330613	0.1027145	0.5802031	0.3546546	0.6004055	0.0031585	0.7904308	0.4630016	0.5511461	0.2916908	0.2347645	0.1013910	0.4530668	0.2629393	0.6242315
750	1.0000250	0.6646248	0.0904294	0.5700891	0.3323315	0.5269587	0.0059732	0.7704937	0.5148478	0.5761091	0.2517286	0.2567218	0.1550246	0.4307435	0.1461958	0.7970060
800	1.0167739	0.6517770	0.0638926	0.6120140	0.5031796	0.6671805	0.0085098	0.7962915	0.5441069	0.5312543	0.2587198	0.2640339	0.1724511	0.4887842	0.1236929	0.7151705
850	0.9705184	0.6116649	0.0748222	0.5404646	0.4737702	0.6586527	0.0091073	0.7951423	0.4951572	0.5911346	0.2224826	0.3036814	0.2461707	0.5390558	0.0710864	0.7800864
900	0.9584493	0.6413901	0.0701711	0.5701243	0.5406939	0.5915623	0.0093442	0.7462538	0.5267319	0.6280528	0.3013651	0.2665487	0.2312684	0.6699450	0.0439513	0.6623371
950	1.0151041	0.5985874	0.0754812	0.5293398	0.4992803	0.6681094	0.0062880	0.7271133	0.4593284	0.5668886	0.2291942	0.3868097	0.2586592	0.7385435	0.0165861	0.6748639
1000	0.9777059	0.6221268	0.0879717	0.5082889	0.5078760	0.7290540	0.0161368	0.6871936	0.5307056	0.5598360	0.2159303	0.2973152	0.2777594	0.7460007	0.0415406	0.7810186

0	1.1065283	0.6800728	0.0676586	0.6544446	0.5187240	0.7041243	0.0105147	0.7551853	0.5379660	0.6999586	0.3023378	0.3219205	0.2709590	0.7671139	0.0378501	0.6663179
50	0.9876416	0.6160273	0.0479349	0.6986403	0.4871282	0.7042453	0.0098664	0.7801504	0.4557381	0.7835836	0.2767356	0.3126757	0.2782450	0.8178232	0.0194215	0.8040183
100	0.9991036	0.6655533	0.0262873	0.7481978	0.4731793	0.7093163	0.0086252	0.7745904	0.4688374	0.8928985	0.2874669	0.3281210	0.2220209	0.7299977	0.0114241	0.7237990
150	0.9626820	0.6550640	0.0154886	0.6143272	0.5386605	0.7371502	0.0051766	0.7160383	0.4725894	1.0515135	0.2653355	0.2609381	0.2253996	0.8058870	0.0084877	0.7363999
200	1.0206785	0.6192958	0.0188284	0.5116546	0.5257728	0.7699022	0.0064517	0.6528291	0.4633443	1.0539131	0.2715516	0.2771281	0.2637282	0.7631038	0.0010379	0.7305632
250	1.0381392	0.6362111	0.0188156	0.5561562	0.4725145	0.7338826	0.0205749	0.6636178	0.4193474	0.9329260	0.1970629	0.2985363	0.2826592	0.7705811	0.0009535	0.6290137
300	1.0504810	0.6097982	0.0153699	0.6224371	0.5363512	0.8046161	0.0041842	0.7028642	0.3930496	0.8968708	0.2209236	0.3494397	0.2701760	0.7885931	0.0021652	0.6929866
350	0.9468237	0.5625615	0.0215564	0.5815299	0.5021150	0.7404228	0.0082790	0.6386935	0.4719919	0.8842461	0.2295345	0.3358194	0.2479378	0.7572578	0.0006281	0.6299761
400	0.9264801	0.5894035	0.0149316	0.5617905	0.5133885	0.7764102	0.0025518	0.6655908	0.4651140	0.9224944	0.2992042	0.2951582	0.2132850	0.7961475	0.0010876	0.6045807
450	0.9723070	0.5358630	0.0105036	0.5550427	0.4551342	0.7674834	0.0093400	0.6319973	0.4553199	0.9365069	0.2816767	0.3668879	0.2514965	0.8674073	0.0006633	0.6294247
500	0.9482933	0.5694499	0.0071625	0.6001065	0.4336383	0.5904268	0.0071517	0.7678721	0.4921608	0.8474330	0.2458046	0.3736266	0.2809378	0.8159581	0.0000125	0.6609239
550	0.9831461	0.5306479	0.0227742	0.6765899	0.4320703	0.6128475	0.0000000	0.7440066	0.5150830	0.7954015	0.2352075	0.2982597	0.2634993	0.8259568	0.0127476	0.7065290
600	1.0658157	0.6243579	0.0319427	0.6521183	0.4139369	0.6146725	0.0055249	0.8611788	0.4650464	0.7272177	0.2829661	0.3634968	0.2742229	0.8228943	0.0236482	0.7400890
650	1.0472091	0.6479898	0.0512173	0.5708380	0.4937072	0.6171813	0.0066661	0.9507326	0.4742777	0.6774996	0.2894441	0.3206347	0.2445368	0.7822453	0.0316475	0.7389646
700	0.9474867	0.6211719	0.0421927	0.5679083	0.4464995	0.6646888	0.0268616	0.9036281	0.5074183	0.6449101	0.2614784	0.3312575	0.2744411	0.7490350	0.0157510	0.7534299
750	0.9482586	0.6448122	0.0364330	0.5945648	0.4378725	0.6360130	0.0147807	0.8189805	0.4480551	0.5899346	0.2953354	0.2849328	0.2836085	0.7328442	0.0282197	0.7152887
800	1.0813881	0.6191824	0.0438714	0.5855948	0.5458948	0.6628311	0.0125736	0.7808642	0.3927943	0.6222553	0.2764541	0.2897305	0.2346585	0.7320092	0.0174339	0.7471822
