"Time"	G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15
350	1.0000000	0.6030394	0.0618467	0.6177573	0.0713165	0.6071935	0.0000369	0.8218951	0.0032098	0.1033651	0.2748432	0.1174631	0.0655857	0.9049475	0.0150740	0.2959985
400	1.0000000	0.6030394	0.0618466	0.6177574	0.0677578	0.6053913	0.0000101	0.8244516	0.0023450	0.0632415	0.2726690	0.1075804	0.0478350	0.9424374	0.0357958	0.2615877
450	1.0000000	0.6030394	0.0618465	0.6177574	0.0663516	0.6046532	0.0000029	0.8258572	0.0020220	0.0448729	0.2712121	0.1029001	0.0385613	0.9528537	0.0648457	0.2284531
500	1.0000000	0.6030394	0.0618465	0.6177574	0.0657988	0.6043599	0.0000010	0.8265874	0.0019021	0.0367054	0.2704187	0.1009020	0.0339703	0.9272486	0.0938850	0.2025033
550	1.0000000	0.6030394	0.0618465	0.6177574	0.0683431	0.6042472	0.0000004	0.8269494	0.1583045	0.1095997	0.2855308	0.1006644	0.0318149	0.8092408	0.3076161	0.2861113
600	1.0000000	0.6030394	0.0618465	0.6177574	0.1403118	0.6045722	0.0000010	0.8271176	0.3236085	0.3070714	0.3255021	0.1120012	0.0367625	0.5847939	0.4682187	0.3943481
650	1.0000000	0.6030394	0.0618465	0.6177574	0.2756595	0.6085891	0.0000502	0.8270222	0.4105964	0.4399836	0.3349028	0.1458556	0.0752287	0.4456663	0.4475090	0.5068204
700	1.0000000	0.6030394	0.0618465	0.6177574	0.3798269	0.6203191	0.0005611	0.8251957	0.4487289	0.5085871	0.3155643	0.1893823	0.1365867	0.3850267	0.3058054	0.6351264
750	1.0000000	0.6030394	0.0618465	0.6177574	0.4387225	0.6364095	0.0020432	0.8183312	0.4634719	0.5407080	0.2948705	0.2262556	0.1880705	0.3894549	0.1739287	0.7388232
800	1.0000000	0.6030394	0.0618465	0.6177574	0.4678139	0.6508542	0.0040709	0.8062441	0.4679080	0.5550648	0.2821078	0.2508218	0.2209304	0.4778061	0.0945987	0.7967647
850	1.0000000	0.6030394	0.0618465	0.6177574	0.4810293	0.6609657	0.0058499	0.7928494	0.4682518	0.5613301	0.2757056	0.2647681	0.2393588	0.5996976	0.0547424	0.8105060
900	1.0000000	0.6030394	0.0618465	0.6177574	0.4865566	0.6670072	0.0070342	0.7817088	0.4673577	0.5640297	0.2727873	0.2717457	0.2489828	0.6856845	0.0368867	0.7976989
950	1.0000000	0.6030394	0.0618465	0.6177574	0.4886072	0.6702322	0.0076874	0.7740336	0.4663750	0.5651849	0.2715191	0.2748390	0.2537718	0.7286857	0.0299360	0.7787543
1000	1.0000000	0.6030394	0.0618465	0.6177574	0.4892060	0.6717989	0.0079975	0.7694110	0.4656434	0.5656774	0.2709832	0.2760242	0.2560574	0.7465426	0.0279244	0.7638808

0	1.0000000	0.6030566	0.0618306	0.6177147	0.4888843	0.6728174	0.0081519	0.7648556	0.4646461	0.5660401	0.2706334	0.2762322	0.2578110	0.7545620	0.0295179	0.7460929
50	1.0000000	0.6032120	0.0449039	0.6177252	0.4888839	0.6728134	0.0081512	0.7648787	0.4646479	0.6945046	0.2706275	0.2795717	0.2578070	0.7552816	0.0198786	0.7201939
100	1.0000000	0.6038354	0.0263289	0.6176015	0.4888841	0.6728119	0.0081509	0.7648892	0.4646489	0.8403552	0.2705065	0.2986792	0.2578052	0.7581730	0.0095129	0.6943551
150	1.0000000	0.6043767	0.0162471	0.6172691	0.4888845	0.6728114	0.0081509	0.7648937	0.4646495	0.9246359	0.2701579	0.3258722	0.2578045	0.7607015	0.0040121	0.6809469
200	1.0000000	0.6046595	0.0117187	0.6168938	0.4888848	0.6728113	0.0081509	0.7648955	0.4646498	0.9660009	0.2697284	0.3489017	0.2578042	0.7620059	0.0015935	0.6747747
250	1.0000000	0.6047788	0.0098620	0.6166135	0.4888850	0.6728113	0.0081509	0.7648962	0.4646499	0.9850021	0.2693779	0.3641429	0.2578042	0.7625469	0.0006199	0.6720279
300	1.0000000	0.6048241	0.0091419	0.6164481	0.4888852	0.6728113	0.0081509	0.7648964	0.4646500	0.9934588	0.2691470	0.3729379	0.2578041	0.7627509	0.0002475	0.6708249
350	1.0000000	0.6048403	0.0088736	0.6163643	0.4888852	0.6728114	0.0081509	0.7648964	0.4646500	0.9971620	0.2690120	0.3776018	0.2578042	0.7628247	0.0001097	0.6703048
400	1.0000000	0.6048459	0.0087767	0.6163258	0.4888852	0.6728114	0.0081509	0.7648964	0.4646500	0.9987698	0.2689385	0.3799405	0.2578042	0.7628509	0.0000598	0.6700827
450	1.0000000	0.6048478	0.0087426	0.6163094	0.4888853	0.6728114	0.0081509	0.7648963	0.4646500	0.9994645	0.2689003	0.3810684	0.2578042	0.7628601	0.0000421	0.6699889
500	1.0000000	0.6048485	0.0087310	0.6163028	0.4888853	0.6728114	0.0081509	0.7648963	0.4646500	0.9997639	0.2688810	0.3815973	0.2578042	0.7628633	0.0000358	0.6699497
550	1.0000000	0.6048443	0.0257089	0.6163004	0.4888853	0.6728114	0.0081510	0.7648963	0.4646500	0.8714265	0.2688724	0.3793460	0.2578042	0.7628117	0.0120962	0.6958143
600	1.0000000	0.6047510	0.0443332	0.6163082	0.4888853	0.6728114	0.0081510	0.7648963	0.4646500	0.7256286	0.2688886	0.3637680	0.2578042	0.7617335	0.0237513	0.7214906
