"Time"	G4	G3	G2	G1	G12	G0	G11	G10	G9	G8	G7	G6	G5
900	0.3208677	0.1174645	0.1745105	1.0019154	0.6317343	0.9868454	0.5317101	0.0624411	0.0007400	0.4000493	0.3150360	0.4730944	1.0149703
950	0.2868136	0.1522290	0.1633106	0.9254575	0.6021014	0.9735135	0.5378869	0.0986380	0.0002809	0.4452201	0.2685228	0.5496335	1.0607589
1000	0.2689204	0.1439523	0.1612372	0.9763235	0.5866720	0.9356497	0.5216241	0.0984187	0.0003585	0.3800007	0.2056244	0.5415306	1.0303412

0	0.3671702	0.1567551	0.1908953	0.9914347	0.6672774	1.0367745	0.5593458	0.1114243	0.0022840	0.4718951	0.3977996	0.5863825	0.9588504
50	0.3098198	0.1896884	0.1973096	0.9927076	0.4698293	0.6491838	0.5752651	0.1225299	0.0020263	0.5886013	0.1386580	0.4455824	0.1862330
100	0.2988303	0.2010445	0.2146467	0.8709081	0.3841844	0.5157903	0.7715669	0.0979489	0.0025396	0.7293685	0.0606262	0.4235763	0.1242252
150	0.2721467	0.2608756	0.2009272	0.9379892	0.3914789	0.4938640	0.7135421	0.0717800	0.0031492	0.7566353	0.0705282	0.3313614	0.0568436
200	0.2230792	0.2898916	0.1908661	0.8035343	0.2644329	0.4441283	0.8079415	0.0612353	0.0072119	0.8125890	0.0709257	0.2392542	0.1109069
250	0.1572031	0.3487167	0.2008778	0.8094052	0.2138342	0.4226533	0.7980593	0.0389266	0.0048464	0.9146580	0.0721201	0.1928491	0.0932915
300	0.1640357	0.3237139	0.2620672	0.7804690	0.1861112	0.4707833	0.7197510	0.0454111	0.0071681	0.8926761	0.0619709	0.2241884	0.1109542
350	0.1610288	0.4154805	0.2848930	0.7529236	0.1808189	0.4361934	0.8094515	0.0403735	0.0131696	0.8605546	0.0525034	0.2909086	0.1079671
400	0.1656398	0.4525212	0.3337511	0.6674065	0.1339400	0.4897933	0.8689444	0.0282813	0.0096213	0.9191054	0.0541367	0.2031582	0.0760943
450	0.1553102	0.4545599	0.3843873	0.6754990	0.1583649	0.5283467	0.7781156	0.0409408	0.0086814	0.9165915	0.0754448	0.1788788	0.1105590
500	0.1625112	0.4258843	0.3157443	0.7832657	0.2203570	0.4722409	0.7409200	0.0326551	0.0029894	0.8881690	0.0506179	0.2172823	0.0669623
550	0.1546197	0.3942405	0.2490055	0.8732405	0.1738564	0.8610308	0.7762524	0.0393701	0.0053483	0.8423263	0.0531522	0.2194722	0.8620398
600	0.1469655	0.2411891	0.2910935	0.8792520	0.2860059	0.9705709	0.7082392	0.0469147	0.0005048	0.7012937	0.0796493	0.1903129	1.1131105
650	0.1302921	0.1915194	0.2029785	0.9061743	0.3406151	1.0294816	0.6672725	0.0446642	0.0000103	0.5183484	0.0686331	0.2302459	0.9356386
700	0.2467634	0.1430937	0.1939938	0.9959654	0.4266758	1.0082697	0.6236347	0.0584540	0.0011439	0.5332604	0.0961034	0.2302933	1.0097423
750	0.2537097	0.1670423	0.1891407	1.0106444	0.5292114	1.0402183	0.5569843	0.0723232	0.0004885	0.4625514	0.1584876	0.2835405	0.9865684
800	0.2486770	0.1433168	0.1877870	1.0070225	0.5651090	1.0267970	0.6279971	0.0858135	0.0014814	0.4492832	0.1126656	0.3734398	0.9312005
850	0.3324599	0.1443046	0.1912671	1.0061287	0.5991586	1.0768027	0.5592824	0.0814732	0.0005545	0.3994686	0.2051779	0.3093370	1.0540933
900	0.3560580	0.1619060	0.1915416	0.9357085	0.5758774	0.9884425	0.5064547	0.1201086	0.0021391	0.4026651	0.4423766	0.3917415	0.9996904
950	0.3420299	0.1679245	0.1830072	0.9276468	0.6192974	1.1226012	0.5701673	0.1034135	0.0038770	0.4915049	0.2425261	0.5612457	0.9544069
1000	0.2905103	0.2065518	0.1675258	0.8834293	0.5745612	0.9789983	0.6512431	0.0979227	0.0014043	0.4739149	0.3535394	0.5131692	0.9697207

0	0.3671702	0.1567551	0.1908953	0.9914347	0.6672774	1.0367745	0.5593458	0.1114243	0.0022840	0.4718951	0.3977996	0.5863825	0.9588504
50	0.3042013	0.1732059	0.1665517	0.9008984	0.6194384	0.3161315	0.3135388	0.0318735	0.2868286	0.5596693	0.1514806	0.5342112	1.0021218
100	0.3753159	0.2827131	0.2131374	0.8151209	0.3877819	0.1219016	0.3087963	0.0062607	0.3381225	0.7989721	0.0791585	0.4722650	1.0461902
150	0.4147069	0.4754518	0.2154906	0.5663864	0.2037528	0.0735350	0.4498834	0.0043981	0.4253494	0.9658708	0.0457799	0.2818449	1.0274721
